Tweet,anger,anticipation,disgust,fear,joy,love,optimism,pessimism,sadness,surprise,trust,tweet_text
@RachelStothard1 @Jomarshall6 No room at the inn when we arrived due to computer error. 24hrs of messing around to get sorted. ,1,0,1,0,0,0,0,1,1,0,0,  No room at the inn when we arrived due to computer error. 24hrs of messing around to get sorted. 
@passagefoods @TKMaxx_UK @Tesco Yes!!! Thank you. Bought loads today! #happy,0,0,0,0,1,1,1,0,0,0,0,   Yes!!! Thank you. Bought loads today! happy
@ColMorrisDavis @The_Borg_Queen_ @realDonaldTrump Amen!  He doesn't think at all. #arrogance #supremacy,1,0,1,0,0,0,0,0,1,0,0,   Amen!  He doesn't think at all. arrogance supremacy
U was posting selfies in the gym last week now ur to scared to buy a McDonald's lol 😂 shows how much ur willing to lie,0,0,0,1,1,0,1,0,0,0,0,U was posting selfies in the gym last week now ur to scared to buy a mcdonald is lol  face_with_tears_of_joy  shows how much ur willing to lie
"They are burning not Muslims Economy,\nThey are burning the Economy of Sri-Lanka",1,0,1,0,0,0,0,0,0,0,0,"They are burning not Muslims Economy,\nThey are burning the Economy of Sri-Lanka"
@Loneranger1166 @NBCNews She's a rhodes scholar! You're so ignorant you probably don't even know what that is #feelsadforyou ,1,0,1,0,0,0,0,1,1,0,0,  she is a rhodes scholar! you are so ignorant you probably don't even know what that is feelsadforyou 
"So u see, I just wasted 2 hrs to see some extra shadows in the middle of the day #SolarEclipse2017 #dissapointed #OVERHYPED",1,0,1,0,0,0,0,1,1,0,0,"So u see, I just wasted 2 hrs to see some extra shadows in the middle of the day Solar Eclipse2017 dissapointed OVERHYPED"
can't believe i have to go work at the job that i voluntarily applied for ,1,0,0,0,1,0,1,1,1,0,0,can't believe i have to go work at the job that i voluntarily applied for 
@loosewomen #dreadful show. #embarrassing 🙊Bear needs to #CalmDown #tryingtoohard #hadtoturnoff,1,0,1,0,0,0,0,0,1,0,0, dreadful show. embarrassing  speak_no_evil_monkey Bear needs to Calm Down tryingtoohard hadtoturnoff
Disney having trouble casting Aladdin @tellyleung ....... You should do it! 😊 #warbler #glee,0,0,0,0,1,0,1,0,0,0,1,Disney having trouble casting Aladdin  ....... You should do it!  smiling_face_with_smiling_eyes  warbler glee
Why  o they call it a happy mea. if it tastes like a whole lot like depression.,0,0,0,0,0,0,0,0,1,0,0,Why  o they call it a happy mea. if it tastes like a whole lot like depression.
post wireless blues is too real 😒😒,1,0,0,0,0,0,0,0,1,1,0,post wireless blues is too real  unamused_face  unamused_face 
Was watching more Subnatica so fun and funny and IGP is so hilarious #funny #omg #amazing #nice #hilarious,0,0,0,0,1,0,1,0,0,0,0,Was watching more Subnatica so fun and funny and IGP is so hilarious funny omg amazing nice hilarious
@zion_kuwonu @TheAustinPorter @nickmara y'all don't follow me yet and I'm ,0,0,0,0,0,0,0,0,0,0,0,   y'all don't follow me yet and i am 
Johnny doesn't seem like the suicidal type #suspicion #tcmparty,0,0,0,0,0,0,0,0,1,0,0,Johnny doesn't seem like the suicidal type suspicion tcmparty
"Wow that last chick was a bit intense, poor Freddie was a bit unnerved lol #NinjaWarriorAU",0,0,0,0,1,0,0,0,0,0,0,"Wow that last chick was a bit intense, poor Freddie was a bit unnerved lol Ninja Warrior A U"
"If I see one more Lakshmi EX enrage, I'm kill someone.",1,0,1,0,0,0,0,0,0,0,0,"If I see one more Lakshmi EX enrage, i am kill someone."
filled with sophisticated glum,0,0,1,0,0,0,0,1,1,0,0,filled with sophisticated glum
Olivia is the worst kinda girl there is #psycho  #dick #ihateu #getoffmytv #loveisland,1,0,1,0,0,0,0,0,1,0,0,Olivia is the worst kinda girl there is psycho  dick ihateu getoffmytv loveisland
What happens if I get lost? Hmm I think I shall return tho 📌,0,0,0,1,0,0,0,0,0,0,0,What happens if I get lost? Hmm I think I shall return tho  pushpin 
@italianirish81 Any republican stupid enough to attend one of these grotesque abominations would suffer a horrible death.,1,0,1,0,0,0,0,0,1,0,0, Any republican stupid enough to attend one of these grotesque abominations would suffer a horrible death.
"Wonderful morning at my best friend's house.  She's at work! I'm writing, eating her delicious fresh bread &amp; cake &amp; drinking fresh ☕️ ",0,0,0,0,1,1,1,0,0,0,0,"Wonderful morning at my best friend is house.  she is at work! i am writing, eating her delicious fresh bread &amp; cake &amp; drinking fresh  hot_beverage ️ "
@SteveConteNYC lovely! 😀,0,0,0,0,1,1,1,0,0,0,0, lovely!  grinning_face 
Y'all ever go to your snap maps and click somewhere random like Saudi Arabia?? Bruh shit is WILD 😂😂😂,1,0,0,0,0,0,0,0,1,0,0,Y'all ever go to your snap maps and click somewhere random like Saudi Arabia?? Bruh shit is WILD  face_with_tears_of_joy  face_with_tears_of_joy  face_with_tears_of_joy 
"lonely is not being alone, it's the feeling that no one cares. #alone #depressed #anxiety",0,0,0,1,0,0,0,0,1,0,0,"lonely is not being alone, it is the feeling that no one cares. alone depressed anxiety"
or just blame the gloomy weather,0,0,1,0,0,0,0,0,1,0,0,or just blame the gloomy weather
"I dreamt that my dog, Snoopy, came back to life. Man I miss that dog 🙁",0,0,0,0,0,0,0,1,1,0,0,"I dreamt that my dog, Snoopy, came back to life. Man I miss that dog  slightly_frowning_face "
But DAMN the sight of them getting scared af makes me feeel SOOO BAD! Which they should feel afraid cause if their mom don't come n it them,0,0,0,1,0,0,0,0,1,0,0,But DAMN the sight of them getting scared af makes me feeel SOOO BAD! Which they should feel afraid cause if their mom don't come n it them
@scott_mills after you said an apple pie isn't naughty I really want Chris or  @gregjames to say 'but a cream pie is' #naughymind #rage,1,0,1,0,0,0,0,0,0,0,0, after you said an apple pie isn't naughty I really want Chris or   to say 'but a cream pie is' naughymind rage
Sometimes in #life ....\nSee the #statement itself #sounds so #temporary\nNothing is permanent isn't it?\nSo #never #worry let it go &amp; #moveon,0,1,0,1,0,0,1,0,0,0,0,Sometimes in life ....\nSee the statement itself sounds so temporary\nNothing is permanent isn't it?\nSo never worry let it go &amp; moveon
"being an entrepreneur at 18 is a real blessing 🙏🏼 the flexibility, doing what you love, and being the one in charge is #great #blessed",0,0,0,0,1,1,1,0,0,0,0,"being an entrepreneur at 18 is a real blessing  folded_hands  medium_light_skin_tone  the flexibility, doing what you love, and being the one in charge is great blessed"
From the archives... Strikeforce Champ Ronda Rousey 301 #chirp #church #mayhemmiller #naked #rip #rondarousey #twitter,0,0,0,0,0,0,0,1,1,0,0,From the archives... Strikeforce Champ Ronda Rousey 301 chirp church mayhemmiller naked rip rondarousey twitter
Tomorrow should be interesting if info is being released re away priority &amp; Canalside membership! #outrage #htafc,1,1,1,0,0,0,0,0,0,0,0,Tomorrow should be interesting if info is being released re away priority &amp; Canalside membership! outrage htafc
@5sos i cant wait for the day you release the album so that i can finally unleash my fury \n\ni hate this long ass hiatus ok afshdkflckakdbwi,1,1,1,0,0,0,0,0,0,0,0, i cant wait for the day you release the album so that i can finally unleash my fury \n\ni hate this long ass hiatus ok afshdkflckakdbwi
"Instead of asking #blessing from GOD the Father, remain #engaged on #pilgrimage of remembrance. Never get #tired on spiritual pilgrimage.",0,0,0,0,1,0,1,0,0,0,0,"Instead of asking blessing from GOD the Father, remain engaged on pilgrimage of remembrance. Never get tired on spiritual pilgrimage."
Good morning! I hope you all have an amazing Wednesday. #wednesday #positivevvibes ,0,1,0,0,1,0,1,0,0,0,0,Good morning! I hope you all have an amazing Wednesday. wednesday positivevvibes 
@Teenique yessss waiting for an epi is for the birds. it sucks. im waiting for walking dead new season😩 ,1,1,1,0,0,0,0,0,0,0,0, yessss waiting for an epi is for the birds. it sucks. im waiting for walking dead new season weary_face  
#note8 #animated said pen. Amazing. Wife loves this one,0,0,0,0,1,1,0,0,0,0,0,note8 animated said pen. Amazing. Wife loves this one
"@angrydwarf9 @carolinesandall It ruins my frigging night each night at 9pm. Mrs loves it, i've been early to bed for a month. ",1,0,0,0,0,0,0,0,0,0,0,"  It ruins my frigging night each night at 9pm. Mrs loves it, i have been early to bed for a month. "
Ugh @easyJet really do have the worst customer service!!!!!!! #astounded,1,0,1,0,0,0,0,0,0,0,0,Ugh  really do have the worst customer service!!!!!!! astounded
I'm fuming I wanted Hamez,1,0,1,0,0,0,0,0,0,0,0,i am fuming I wanted Hamez
my blood sugar is 399 and my anxiety is wrecking me and i have court like right now and i made us late bc im fighting w my mom #great #good,0,0,0,1,0,0,0,0,0,0,0,my blood sugar is 399 and my anxiety is wrecking me and i have court like right now and i made us late bc im fighting w my mom great good
There are girls on my Facebook cheering on the fact that Chyna got a restraining order against Rob just bc of the 'revenge porn' thing,0,0,0,0,0,0,0,0,0,0,0,There are girls on my Facebook cheering on the fact that Chyna got a restraining order against Rob just bc of the 'revenge porn' thing
"My main concern are the children and his wife thats if she is still stuck with him and if she is, then she's strong af. Jeez 😟",0,0,0,1,0,0,0,0,1,0,0,"My main concern are the children and his wife thats if she is still stuck with him and if she is, then she is strong af. Jeez  worried_face "
"'Is it that funny to you when someone's sad? In that case, I'll beat you 'till you won't even be able to crack a smile!'",1,0,1,0,0,0,0,0,1,0,0,"'Is it that funny to you when someone is sad? In that case, i will beat you 'till you won't even be able to crack a smile!'"
@AC360 omg.  Who is this nan Hayworth person and where did she come from? Send her back!#sad #bad,0,0,0,0,0,0,0,0,1,0,0, omg.  Who is this nan Hayworth person and where did she come from? Send her back!sad bad
"I just wanna be okay!!\nLike I know I can be all smile and giggles, but hot diggity dang, if that wasn't a mask, life would be swell!",0,0,0,0,1,0,1,0,1,0,0,"I just wanna be okay!!\nLike I know I can be all smile and giggles, but hot diggity dang, if that wasn't a mask, life would be swell!"
I see you smiling through the steam of my coffee cup,0,0,0,0,1,0,1,0,0,0,0,I see you smiling through the steam of my coffee cup
@LogitechUK Been there done that ,0,0,0,0,1,0,0,0,0,0,0, Been there done that 
@kikisshh @gyorzeppeli 14 year old me is crying in delight right noW AXELLLLLLLLLL  ♥♥♥♥♥,0,0,0,0,1,0,1,0,0,0,0,  14 year old me is crying in delight right noW AXELLLLLLLLLL   heart_suit  heart_suit  heart_suit  heart_suit  heart_suit 
i want to ruffle jungkook's hair.... this is so sad,0,0,0,0,0,0,0,0,1,0,0,i want to ruffle jungkook is hair.... this is so sad
Don't be afraid to ask questions! He's real &amp; there's always a revelation.,0,1,0,1,0,0,1,0,0,0,0,Don't be afraid to ask questions! he is real &amp; there is always a revelation.
@SOUNDK2022 always panic before the presentation.. &gt;.&lt;',0,0,0,1,0,0,0,0,0,0,0, always panic before the presentation.. &gt;.&lt;'
@lmwilson92 Girllll I don't even know what's on anymore ,1,0,1,0,0,0,0,1,1,0,0, Girllll I don't even know what is on anymore 
@JenBhen @jenwinget Cos she isn't afraid not to look as aesthetically pleasing to the audience.,0,0,0,0,1,0,1,0,0,0,0,  Cos she isn't afraid not to look as aesthetically pleasing to the audience.
@DaddysLittleK Wow I've just spotted the cutest human being alive #blessed 😍,0,0,0,0,1,1,0,0,0,0,0, Wow i have just spotted the cutest human being alive blessed  smiling_face_with_heart_eyes 
I've seen the innocence leave your eyes. I still mourn this death.,0,0,0,0,0,0,0,0,1,0,0,i have seen the innocence leave your eyes. I still mourn this death.
@1pmlunch I coloured my hair bright red AND had a dodgy fringe. #dreadful #nophotos #thankgoodness #betterblonde,0,0,1,0,1,0,0,0,0,0,0, I coloured my hair bright red AND had a dodgy fringe. dreadful nophotos thankgoodness betterblonde
You can pair me with your smartphone. Just lay it on me and by spinning I'll pair it into pieces / #smart #playful #washer #IoT,0,0,0,0,1,0,1,0,0,0,1,You can pair me with your smartphone. Just lay it on me and by spinning i will pair it into pieces / smart playful washer Io T
#laughing but #crying bc my life is such a shit show,1,0,1,0,0,0,0,1,1,0,0,laughing but crying bc my life is such a shit show
"Miss Sylvester wants to see you in her office, Mr. Schue. She doesn't like to be kept waiting.  #glee",1,0,0,0,1,0,0,0,0,0,0,"Miss Sylvester wants to see you in her office, Mr. Schue. She doesn't like to be kept waiting.  glee"
You couldn't mind me up more if you tried right now raging 🙃😠,1,0,1,0,0,0,0,0,0,0,0,You couldn't mind me up more if you tried right now raging  upside_down_face  angry_face 
Robert called me to make sure I was awake for my night class ,0,0,0,0,1,0,0,0,0,0,0,Robert called me to make sure I was awake for my night class 
@cpwomensopen @BrookeHenderson @CHEOhospital @OttawaHuntClub #Priceless  love those #smiles,0,0,0,0,1,1,1,0,0,0,0,    Priceless  love those smiles
All the proud parents on fb about their kids school report and am shitting myself for Graces arriving 😂😂😂  #troublemaker,0,0,0,0,1,0,0,1,1,0,0,All the proud parents on fb about their kids school report and am shitting myself for Graces arriving  face_with_tears_of_joy  face_with_tears_of_joy  face_with_tears_of_joy   troublemaker
genuinely think im dying boys n girls never felt so awful in my LIFE x,1,0,1,0,0,0,0,0,1,0,0,genuinely think im dying boys n girls never felt so awful in my LIFE x
@malviyamit Fuck off. Enough of this fake solidarity. #NotInMyName was a rabid #Hinduphobic campaign. Stop giving them legitimacy.,1,0,1,0,0,0,0,0,0,0,0, Fuck off. Enough of this fake solidarity. Not In My Name was a rabid Hinduphobic campaign. Stop giving them legitimacy.
@bookingcom #croydonparkhotel will be receiving a big complaint from me tomorrow #worseservice #rudestaff #furious,1,0,1,0,0,0,0,0,0,0,0, croydonparkhotel will be receiving a big complaint from me tomorrow worseservice rudestaff furious
I hate these crippling anxiety. :(,0,0,0,1,0,0,0,1,1,0,0,I hate these crippling anxiety. :(
I finally got my drivers permit #yes #readytodrive #nervous #scared,0,0,0,1,1,0,0,0,0,0,0,I finally got my drivers permit yes readytodrive nervous scared
@thewarofexo ohhh HAHAHA. but now i do not have a time to watch kdrama 😟,1,0,1,0,1,0,0,0,1,0,0, ohhh HAHAHA. but now i do not have a time to watch kdrama  worried_face 
"I'm in such a good place right now, so happy... 💛 I just wanted to share that #positivevibes #optimism #followingmydream",0,0,0,0,1,0,1,0,0,0,0,"i am in such a good place right now, so happy...  yellow_heart  I just wanted to share that positivevibes optimism followingmydream"
@AlaskaAir as a long time Gold &amp; near Million mile member just had a terrible customer service experience #disappointing,1,0,1,0,0,0,0,1,1,0,0, as a long time Gold &amp; near Million mile member just had a terrible customer service experience disappointing
'....trying to work out how a band featuring Corin Tucker and Peter Buck (REM) could be so bad.' WAAHHHHH @normanrecords  #devastated,0,0,0,0,0,0,0,1,1,0,0,'....trying to work out how a band featuring Corin Tucker and Peter Buck (REM) could be so bad.' WAAHHHHH   devastated
I'm just trying to watch the dragon ball super episode before I go to work but it won't load so #pissed,1,0,1,0,0,0,0,0,1,0,0,i am just trying to watch the dragon ball super episode before I go to work but it won't load so pissed
"@davidgold @karren_brady My shirt did not arrive today as promised, I even pre-ordered it in June, who do I make my complaint to ? ",1,0,1,0,0,0,0,0,0,0,0,"  My shirt did not arrive today as promised, I even pre-ordered it in June, who do I make my complaint to ? "
"@Karma_cutie aw, you make me smile, too.😉😘",0,0,0,0,1,1,0,0,0,0,0," aw, you make me smile, too. winking_face  face_blowing_a_kiss "
Shoutout to @Enterprise bc nothing be will ever be as #horrible as the last 22 #miserable hours I've spent dealing with your #nonsense,1,0,1,1,0,0,0,0,1,0,0,Shoutout to  bc nothing be will ever be as horrible as the last 22 miserable hours i have spent dealing with your nonsense
A person #hates u for 1 of 3 reasons. They 1) want 2b U; 2) #hate themselves. 3) C U as a #threat. (&amp; don't tell me hate doesn't exist!),0,0,0,1,0,0,0,0,0,0,0,A person hates u for 1 of 3 reasons. They 1) want 2b U; 2) hate themselves. 3) C U as a threat. (&amp; don't tell me hate doesn't exist!)
Cochi's face &amp; manner never show sadness. But the guitar always in his hands will play songs that will make you weep. #blues #WIPTruthOrDare,0,0,0,0,1,0,0,0,1,1,0,cochi is face &amp; manner never show sadness. But the guitar always in his hands will play songs that will make you weep. blues W I P Truth Or Dare
MOTIVATION TIP - Great #salespeople know how to increase #business by eliminating #consumer #complaints #concerns #fears and pet peeves !!,0,0,0,1,1,0,1,0,0,0,1,MOTIVATION TIP - Great salespeople know how to increase business by eliminating consumer complaints concerns fears and pet peeves !!
@jnyalero @BelAkinyii Eng.R  u call a spade a spade if u were good lets all mourn but if you not pop a bottle and say good riddace,0,0,0,0,0,0,0,0,1,0,0,  Eng.R  u call a spade a spade if u were good lets all mourn but if you not pop a bottle and say good riddace
I should wear black &amp; mourn a lil'.,0,0,0,0,0,0,0,1,1,0,0,I should wear black &amp; mourn a lil'.
I make nebulizer look sexy #DarthVader #breathless #sexy #nebulizer #girl,0,0,0,0,1,0,1,0,0,0,0,I make nebulizer look sexy Darth Vader breathless sexy nebulizer girl
"@asksheilas I've tried to get through 3 times today and waited 20 mins each time, what do I have to do to get through?! ",1,1,0,0,0,0,0,0,0,1,0," i have tried to get through 3 times today and waited 20 mins each time, what do I have to do to get through?! "
animated bts is so cool ok im cryin djdndjenns,0,0,0,0,1,0,1,0,1,0,1,animated bts is so cool ok im cryin djdndjenns
Just started p30 @mrjonathanlynn's SAMARITANS. Spot-on Orwellian discription of #US HealthCare tragedy exploitations melancholic &amp;HILARIOUS!,0,1,0,0,1,0,1,0,1,1,0,Just started p30  is SAMARITANS. Spot-on Orwellian discription of US HealthCare tragedy exploitations melancholic &amp;HILARIOUS!
Ot6 still exist? #julid #deletesoon ,0,0,0,1,0,0,0,0,0,0,0,Ot6 still exist? julid deletesoon 
@joeAlane @KayleyHignell Think too timid. I think a £50 fee for all for ETs as suggested by @Wonkypolicywonk is way to go.,0,1,0,0,0,0,0,1,0,0,1,  Think too timid. I think a £50 fee for all for ETs as suggested by  is way to go.
is joy okay??? she looked really breathless on stage...,0,0,0,1,0,0,0,0,0,0,0,is joy okay??? she looked really breathless on stage...
Getting up for work is so much harder when Charles doesn't have to 🙁,0,0,1,0,0,0,0,1,1,0,0,Getting up for work is so much harder when Charles doesn't have to  slightly_frowning_face 
@OfficialPLT when you try to place an order on PLT website and it comes up with an error but still take money out of my account #fuming,1,0,1,0,0,0,0,0,0,0,0, when you try to place an order on PLT website and it comes up with an error but still take money out of my account fuming
@AuralOrgasim Looking at babies just makes me cross my legs and wince 😂,0,0,0,0,1,1,0,0,0,0,0, Looking at babies just makes me cross my legs and wince  face_with_tears_of_joy 
Nothing more fun to do at a day like this 😭☔️🌧 #dark #rainy,0,0,0,0,1,1,1,0,0,0,0,Nothing more fun to do at a day like this  loudly_crying_face  umbrella_with_rain_drops ️ cloud_with_rain  dark rainy
@RanaAyyub @rajnathsingh So what's wrong in burning the terrorists alive? If they kill you do you want biryanis and award in return,1,0,1,0,0,0,0,0,0,0,0,  So what is wrong in burning the terrorists alive? If they kill you do you want biryanis and award in return
had noodles for tea\nyummmmmmy\n#yum #yummy #ddlg #abdl #chgl #noodles,0,0,0,0,1,1,0,0,0,0,0,had noodles for tea\nyummmmmmy\nyum yummy ddlg abdl chgl noodles
nw immortal songs 2 || the blues ♥,0,0,0,0,1,1,1,0,0,0,0,nw immortal songs 2 || the blues  heart_suit 
This pain makes me want to hit something!!!!😞 #irritated,1,0,1,0,0,0,0,0,1,0,0,This pain makes me want to hit something!!!! disappointed_face  irritated
@kaylynreynolds @katycpstrong Ha brilliant 😂. Its really not ok is it 🙁 xx,0,0,0,0,1,1,0,0,1,1,0,  Ha brilliant  face_with_tears_of_joy . Its really not ok is it  slightly_frowning_face  xx
"@jamaicajewell burning, throbbing, stabbing. Can't exactly explain how it feels but this damn sht is fvking painful for real",1,0,1,0,0,0,0,0,1,0,0," burning, throbbing, stabbing. Can't exactly explain how it feels but this damn sht is fvking painful for real"
The times when you need someone to lean on but sadly they are only there if they need you,0,0,0,0,0,0,0,1,1,0,0,The times when you need someone to lean on but sadly they are only there if they need you
America...just a nation of two hundred million used car salesmen with all the money we need to buy guns and no qualm,1,0,1,0,1,0,0,0,0,0,0,America...just a nation of two hundred million used car salesmen with all the money we need to buy guns and no qualm
This Wednesday @ChandlerBMusic #kickstarter begins! Y'all be READY! #ChandlerBayMusic #ChandlerBayEP #tantrum,0,1,0,0,1,0,1,0,0,0,0,This Wednesday  kickstarter begins! Y'all be READY! Chandler Bay Music Chandler Bay E P tantrum
@mxxxcxxx weekedn cheer,0,0,0,0,1,0,1,0,0,0,0, weekedn cheer
@funnyrealfact Thx 4 follow! I #terrify with letters&amp;tweets.Prefer I hand out sweets.Perhaps they are powerful like Apostle Paul 2Cor10:9-10,0,1,0,1,1,0,1,0,0,0,0, Thx 4 follow! I terrify with letters&amp;tweets.Prefer I hand out sweets.Perhaps they are powerful like Apostle Paul 2Cor10:9-10
@Hurricane_Surge Id argue that sakura space is the best of the franchise and its not on your list. #dissapointed,0,0,1,0,0,0,0,1,1,0,0, Id argue that sakura space is the best of the franchise and its not on your list. dissapointed
@luxlikelindsey because one of the main symptoms is restlessness and it could explain why he isn't able to sleep/might not want to,0,0,0,1,0,0,0,0,1,0,0, because one of the main symptoms is restlessness and it could explain why he isn't able to sleep/might not want to
deni &amp; i on here be4: known as friendship goals by all our adorable mutuals 💘💗🙆🏻✨!⭐️™\nus now: tweets three times a day about depression,0,0,0,0,1,1,0,0,1,0,0,deni &amp; i on here be4: known as friendship goals by all our adorable mutuals  heart_with_arrow  growing_heart  person_gesturing_OK  light_skin_tone  sparkles ! white_medium_star ️ trade_mark \nus now: tweets three times a day about depression
@Not_Yves 😂 me as hell,1,0,1,0,0,0,0,0,1,0,0,  face_with_tears_of_joy  me as hell
What does this buffoon and his team have to do for you trump fans to bail!!?? #confused ,1,0,1,0,0,0,0,1,1,0,0,What does this buffoon and his team have to do for you trump fans to bail!!?? confused 
"Wow ... I don't know who Jocelyn Alice is, but judging by her rendition of Oh Canada, I'll never buy any of her music #AllStarGame #awful",1,0,1,0,0,0,0,0,0,0,0,"Wow ... I don't know who Jocelyn Alice is, but judging by her rendition of Oh Canada, i will never buy any of her music All Star Game awful"
@EsteemedKompany is dani alves really going to go to PSG in your opinion #nervous,0,0,0,1,0,0,0,1,1,0,0, is dani alves really going to go to PSG in your opinion nervous
"Felt like a lost soul in front of @katetempest, shivering more than ever #nowordstodescribe #emotional #beautiful #festival #aufoindelarue",0,0,0,0,1,0,1,0,0,0,0,Felt like a lost soul in front of  shivering more than ever nowordstodescribe emotional beautiful festival aufoindelarue
My heart is hurting because I had to pour my milk out because something was in it 😭,0,0,1,0,0,0,0,1,1,0,0,My heart is hurting because I had to pour my milk out because something was in it  loudly_crying_face 
3. There is already a lot of resentment against the coal miner and union crowd among the liberals. They are seen as racist and as having,1,0,1,0,0,0,0,0,0,0,0,3. There is already a lot of resentment against the coal miner and union crowd among the liberals. They are seen as racist and as having
@thequippster Okay but like why haven't you told me about this yet? ,1,0,1,0,0,0,0,0,1,0,0, Okay but like why haven't you told me about this yet? 
Utd fans taste on strikers have become SO low. Their enchanted by close to poverty level strikers and it's hilarious to see.,0,0,0,0,1,0,1,0,0,0,0,Utd fans taste on strikers have become SO low. Their enchanted by close to poverty level strikers and it is hilarious to see.
i do love shack shake,0,0,0,0,1,1,1,0,0,0,0,i do love shack shake
"So, basically, Donald Trump was so intimidated by Hillary Clinton that he sought foreign assistance (including cyberattacks) to 'win'?",1,0,1,0,0,0,0,0,0,0,0,"So, basically, Donald Trump was so intimidated by Hillary Clinton that he sought foreign assistance (including cyberattacks) to 'win'?"
complainin bitcoin has dropped. The altcoin bubble has burst. Bitcoin cud go to $1800 mid/end July but will rise above previous highs\n#HODL,1,0,1,0,0,0,1,0,0,0,0,complainin bitcoin has dropped. The altcoin bubble has burst. Bitcoin cud go to $1800 mid/end July but will rise above previous highs\nHODL
@ian_beckett Have the most wonderful day Ian. ,0,0,0,0,1,1,0,0,0,0,0, Have the most wonderful day Ian. 
Why is @DonaldJTrumpJr 'busted' bc he spoke w/Russian lawyer? He's a world bizman. Where was the outrage bc @SenSanders honeymooned there?,1,0,0,0,0,0,0,0,0,0,0,Why is  'busted' bc he spoke w/Russian lawyer? he is a world bizman. Where was the outrage bc  honeymooned there?
Did they offend us and they want it to sound new?,1,0,0,0,0,0,0,0,0,1,0,Did they offend us and they want it to sound new?
#fans #gamers what you think @EAMaddenNFL 18 is going to rate the #Dolphins #offense #defense special teams rating &amp; rank out of 32 teams,0,1,0,0,0,0,0,0,0,0,0,fans gamers what you think  18 is going to rate the Dolphins offense defense special teams rating &amp; rank out of 32 teams
"#Worry steals your #happiness, robs your #energy. #success #quote #BertMartinez",0,0,0,0,1,0,1,0,0,0,0,"Worry steals your happiness, robs your energy. success quote Bert Martinez"
"Sometimes we create our own heartbreaks through expectations. When #love prevails, fear departs. Learn to be grateful for our moments. Quiet",0,0,0,0,1,0,1,0,0,0,0,"Sometimes we create our own heartbreaks through expectations. When love prevails, fear departs. Learn to be grateful for our moments. Quiet"
"how are you my love? @Hashtag_DonJon love youu!! thanks for the smile, that motivates me to keep going!! 💛 so blessed to have you 😊",0,0,0,0,1,1,1,0,0,0,0,"how are you my love?  love youu!! thanks for the smile, that motivates me to keep going!!  yellow_heart  so blessed to have you  smiling_face_with_smiling_eyes "
@PinkNews An outrage,1,0,1,0,0,0,0,0,0,0,0, An outrage
Happy happy birthday @mrjaxtaylor  hope your day is f*n awesome! Have a drink or two or five for me!!,0,0,0,0,1,1,1,0,0,0,1,Happy happy birthday   hope your day is f*n awesome! Have a drink or two or five for me!!
Went to 3 western union outlets will take my money but when I need to receive cash from them they won't allow me #bad #service #westernunion,1,0,1,0,0,0,0,0,1,0,0,Went to 3 western union outlets will take my money but when I need to receive cash from them they won't allow me bad service westernunion
@Scientists4EU that is amazing not only can it make people hear it can make us all #cry as well 😘,0,0,0,0,1,0,1,0,1,1,0, that is amazing not only can it make people hear it can make us all cry as well  face_blowing_a_kiss 
I've seen some get so discouraged in their old age becos they aren't physically able 2 do the things for God they used 2 do in their youth.,0,0,0,1,0,0,0,1,1,0,0,i have seen some get so discouraged in their old age becos they aren't physically able 2 do the things for God they used 2 do in their youth.
Holding a #grudge is like allowing someone to #live #rent #free in your #head #WednesdayWisdom #MotivationalQuotes,0,0,0,0,0,0,1,0,0,0,0,Holding a grudge is like allowing someone to live rent free in your head Wednesday Wisdom Motivational Quotes
Looking up some phone prices online and it just saddens me even more 😧 ,0,0,0,0,0,0,0,1,1,0,0,Looking up some phone prices online and it just saddens me even more  anguished_face  
Good Morning #start 2Wheel #free course *Pune *8888006565,0,0,0,0,1,0,1,0,0,0,0,Good Morning start 2Wheel free course *Pune *8888006565
QLD are like the All Blacks #relentless,1,0,1,0,0,0,0,0,0,0,0,QLD are like the All Blacks relentless
@lukasbradley use the F word as much as you need to. People may start to listen. :),0,0,1,0,0,0,1,0,0,0,0, use the F word as much as you need to. People may start to listen. :)
@_StevenKavuma I know!! #carefree,0,0,0,0,1,0,1,0,0,0,0, I know!! carefree
Learning without thought is labor lost; thought without learning is perilous.  #Confucius,0,1,0,0,0,0,0,0,0,0,0,Learning without thought is labor lost; thought without learning is perilous.  Confucius
@sydboyd_ It used to scare me too...  But it's better this way.,0,0,0,1,0,0,1,0,0,0,0, It used to scare me too...  But it is better this way.
"Do #you #said, people never cross the 10! #serious",1,0,1,0,0,0,0,0,1,0,0,"Do you said, people never cross the 10! serious"
Thank you for sending random kind people into my life when I need them the most #smiling #grateful,0,0,0,0,1,0,1,0,0,0,0,Thank you for sending random kind people into my life when I need them the most smiling grateful
Another blow for students as the SU have shunned wildcats for fear they will offend Dr. Dre.,0,0,0,1,0,0,0,0,1,0,0,Another blow for students as the SU have shunned wildcats for fear they will offend Dr. Dre.
In less than a month I get to see @NEEDTOBREATHE and @GavinDeGraw in concert with @lilbittysmitty and I already have zero chill! ,0,1,0,0,1,0,1,0,0,1,0,In less than a month I get to see  and  in concert with  and I already have zero chill! 
"We get #upset when we are #overlooked for doing things for others, even small things. Imagine how #Jesus feels when he died for our sins.",0,0,0,0,0,0,0,1,1,0,0,"We get upset when we are overlooked for doing things for others, even small things. Imagine how Jesus feels when he died for our sins."
