ori_sentiment,tweet_text
happy,Pretty cool #curator up right now at the Polar Museum in Cambridge pun semi-intended...
happy,i have won two free tickets to the private viewing of the Jackson Pollock exhibition can not wait!!!!! 😊
happy,who is going to the Jackson Pollock PV tonight? Great piece on why he gave up painting:
nocode,"QT"" New on the blog: Richard Parkinson discusses sexual identity #Pride2015"
nocode,"Now for the keynote of the Piero della Francesca conference, by James R. Banker"
happy,it is a great day to #AskTheGallery with both &amp; opening their Twitter doors for live questions&gt;
nocode,If open &amp; I was in London I would have a nose at or always
not-relevant,real sisters
angry,We will not stop til dumps #BP. Fill in a feedback form when you are there &amp; watch this space:
not-relevant,hurry up and email us your contact number &amp; age for a chat! Time is running out...! E: claire.gellard Pls RT!
nocode,Here #Buddha cutting his hair in renunciation #Gandhara
happy,All I can say is WOW Your groundbreaking #8mummies exhibition is fantastic
nocode,"Save the date for Artist Talk: Svend Bayer Tues 14 July, 1.10pm"
happy,Really enjoyed the #GlennLigon talk earlier today. His exhibition is truly stimulating!
nocode,Currently to discuss #DefeatingDepression with Should be interesting.
happy,these are so beautiful! #GaudierBrzeska
happy,A great exhibit is the Lewis Chessmen.Terrific artistry want to pick up a replica &amp; learn the game!
nocode,Statue of Poseidon National Museum Athens
happy,students are a joy to be spending a day with #stockleyart
surprise,Is he holding an orange? Someone had better watch out!
nocode,Get ready for the Artists Present w/ Beatrice Gibson+ Sarah Turner
happy,Supercool !! You seriously rock :D
nocode,Frames in Focus: Sansovino Frames ... and so much more at the National Gallery #London
nocode,"The Emperor #Napoleon in His Study at the Tuileries, 1812, Painted by #Jacques_Louis_David, of #Art"
nocode,Top 5 Art Shows to 2C in London this week
sad,It would have been great to see that material approached using queer theory.
happy,"Blind Spots, #Pollock black paintings sounds fascinating, hope I can make the journey north"
nocode,Practising Artist required to run workshops Quote required. Deadline: Fri 26 June #artopps
nocode,From The Tomb Of #Nebamun — 1350 BC | #Egyptology #Archaeology #AncientEgypt
happy,a much welcomed change.
nocode,. triennial London Open celebrates creativity across the capital 15 July
angry,#AskTheGallery Why do you appear to support privatisation? Why do not you value your staff more and support them?
nocode,#queenvictoria is Jubilee Souvenir Badge
happy,The Ratzingeriana is out! Stories via
happy,FABulous :-
happy,Thanks for lovely review!
nocode,"in Italian ""Still Life"" is ""Natura Morta""= ""Dead Nature,""while they are more alive than ever...."
happy,collection in excellent company thanks to all involved.
happy,ooh sounds good!
not-relevant,"The 2rd GENOCIDE against #Biafrans as promised by #Buhari has begun,3days of unreported aerial Bombardment in #Biafraland"
nocode,Rosalba carriera is Portrait has also retained its original Venetian 18th century frame
nocode,#musicalinstruments in art. Johannes Vermeer 1632-1675 A Lady seated at a Virginal #genre #oil
nocode,Thresholds poet Sean borodale is Bee Journal R3 listen again :
nocode,Tomorrow at #cheltlitfest talks about exhibition on Ming dynasty
happy,"In the garden, yes! But not in the gallery. How will I restrain myself from patting #Tides 1946 ?"
sad,w/ &amp; zada_beda feeling like 21st Century is underperforming &amp; not sure…
happy,I look forward to congratulating you in person :-
nocode,"Nicholas Penny, how does it feel to get a knighthood?!"
happy,One of my favourite paintings!
happy,#painting #inprogress #GerardDavid #oil so much Thursday fun!
happy,"Thank you, John!"
happy,"Had a personal tour, no less... ;"
happy,Thanks for an inspiring day + warm welcome
nocode,#FF follow Friday!
happy,"A ‘sparkling show' of Turner, Singer Sargent, Cézanne watercolours Cambridge"
nocode,When will you reinstate Candy Udwin? #AskTheGallery
happy,We should share this with DAN BAIRD ~ GOTHIC ARTIST this drawing is by artist SALVATOR ROSA born 1615 ~ ETCHING!
nocode,Relics and experiments at Barbara hepworth is studio in St Ives #artiststudio # cornwall #scupture
happy,What a beauty! #Baroque
nocode,""" Approximately 25% less than he/she once ""urned"""" Precisely!"
angry,ATTN: Museum of stolen property. Hand back our culture. #SOSBLAKAUSTRALIA #NOconsent
nocode,"Hi, from the queue."
happy,"never heard of it , next time i am in uk will happy to visit:"
nocode,"Sunset in the Auvergne, by Théodore Rousseau. Thought to be completed 1844"
happy,great to hear her talk about the event. I definitely left with a 'feeling of madness' #materialhistories
happy,"So pleased our fav artist Richard Long wins award, incredible body of work in 'Time and Space'"
nocode,The chorus of
happy,Great afternoon at #DefiningBeauty exhibition with and :
nocode,Rock art can be helpful in learning about different ways in which camels were used in 1st mill CE
nocode,"Hi, is it possible to make it clear that the Baroque Galleries open to public Fri June 19? Thanks!"
happy,"Great news, i have been taping the series and listening to BBC4 as well fascinating and informative, many thanks!"
nocode,""" Born #onthisday in 1898: artist M C Escher, representation of Tower of Babel"
not-relevant,Volunteers needed for ARTIST ROOMS: Gerhard Richter Deadline: Thurs 3 Sept #artopps
surprise,So much teeth problems un ancient Egypt!!! 😁
happy,"This is a real treat, full of inspiration from the Curious Beasts"
happy,Thrilled to listen to erudite Neil MacGregor from talking about Germany
happy|surprise,speaking at the is pretty exciting / daunting... Still trying to decide whether to bring my Mummy or not! 😉
nocode,by Nicholas Hilliard?
nocode,What lies beneath: drapery and the suggested form
not-relevant,Director Nicholas Penny is hosting twitter Q&amp;A on Tue 16th June 10.30am-11.30am #AskTheGallery info:
happy,"Thanks, good article #berthemorisot is dau #juliemanet is diary re her family"
happy,Also enjoyed James Richards speaker-bombarding Francis Bacon with soundscape
nocode,From The Tomb Of #Nebamun — 1350 BC | #Egyptology #Archaeology #AncientEgypt
nocode,Please follow contemporary conceptual paintings 2005 Visitor artist
happy,Will someone take me to see the mummies at the please please please??? 🙏🏼
nocode,Whale move again via #raisethewhale
happy,Engaging work from at #photography #art #wellcometrust
nocode,Morning folks! Last week left for 13-18 year olds to win 2 free tix to Defining Beauty at Go to our Facebook page for info
happy,Being good at hunting pays off. King kisses Tristram as a reward #pride #Pride2015 #PrideinLondon
nocode,A good idea to refresh the perception of the collection or a modish attempt at trendiness?
nocode,#markgodfrey speaking to the #cca #rca students at this morning #christopherwilliams
nocode,The 2 things that most moved Angela Merkel at the Germany show: luther is Bible &amp; the model of the Friedrichstrasse station.
not-relevant,Two Britons held over Auschwitz theft
happy,"This is one of my favourite paintings at the National Gallery, I know where it is hung. Beautiful!"
nocode,"Today, find us at Castle Hill Open Day 2015 at the Methodist Church. #CastleHill15 Serving 12-4."
happy,that was a marvelous broadcast on Napoleon just now. Great use of this new service.
nocode,"These two men in from Jebel Sahaba died 13,000 years ago, their bodies riddled with arrows."
not-relevant,at what time?
nocode,Find out how worked with #camhs FRESH with Tate Collective Liverpool | Circuit
nocode,"i am at in London, Greater London"
nocode,do you think that Napoleon lost because of Russian campain or Waterloo?
happy,thank you for following me back. Well done for gathering such an interesting panel for #DefeatingDepression
happy,The exquisite #Waddesdon Bequest is absolutely exceptional. Not to be missed. &amp; it is free! #museumhour
happy,Had a wonderful time with Thank you for having me!
not-relevant,PLUS: WILL MAKE RAINS in CALIFORNIA please CLEAN yours STREET DRAINERS AVOID FLOODS my HONEY$ HASKELL ART THANK YOU RT
nocode,Hi there! we have just created this guide of #Liverpool and mentioned you.
happy,#lovely
happy,The Ligon/Pollock exhibition . that opened today is one of the best in ages. Glenn Ligon also seems such a nice guy #pollock
nocode,"Book for Making &amp; Promoting British Art Tues 23 June, 1.10pm, £2"
nocode,He looks so happy......not.
happy,# I #LOVE The National Gallery!
sad|angry,brought son to see Stubbs v disappointed by room closures re strike action- why close the most popular rooms?
nocode,The Alchemist by Pieter Bruegel the Elder #art for #StrangeandNorrell in
happy,interesting variety
happy,Delicious Dorset crab with avocado and gazpacho @ the beautiful with #gailsmithflowers
happy,Looking forward to our public engagement event #DefeatDepression this evening
happy,Greatest car park attendant this country has ever seen.
nocode,At listening to Ebb &amp; Flow summer with &amp; Gerald
happy,Early morning viewing of Defining Beauty at quite the inspiration for the rest of the day. What a complete treat.
nocode,""" placing the trees on a diagonal axis, Rousseau conveys a sense of the wind For you,"
nocode,something from ancient Egypt ?
happy,Enjoying the afternoon at #artheals
nocode,'I prefer #art to fast cars': fund manager helps British Museum buy Picasso works #Picasso
happy,look forward to visiting this week. #art #Cambridge
happy,Frames can be works of art on their own. Visit our free #SansovinoFrames exhibition http:... via
happy,i am introducing Director Neil MacGregor-Germany:Memories of a Nation at #cheltlitfest tomorrow Come!
happy,#DefiningBeauty finally visited the exhibition before it closed next week.. Well worth the trip to London. A brilliant time.
nocode,"i am at in London, Greater London"
nocode,I have turned the exposure up on this painting to enable easier viewing. #TooDark
happy,"If you have not seen the Christopher Williams show it finishes this Sunday. Go. Really, go. GO."
happy,"Sad, but amazing and exciting things will be happening to !"
nocode,"he donated it to somebody, as i recall vaguely now"
happy,Portraiture is so fascinating...love all these hidden meanings! Thanks for the info!
happy,"Weekend getting better &amp; better, #GrantSimonRogers taking #DailyGuidedTour #Entertaining &amp; #Engaging with his group."
nocode,{ } #art #London #ttot #lp #vacation #trip #photography #photo #Travel #travelpics
happy,"thank you for the RT, following you back, great to see represented at #DefeatingDepression"
nocode,"After this weekend the 'Louvre of the pebble', closes for 2 years. Go visit while you have the chance!"
nocode,What did they do with all the tourists?
nocode,don is miss the #events showcase at on 1 July #eventprofsuk #London
nocode,"Muse, adult art group enjoy Watercolour painting inspired by visit ruskin is Turner and Elements of Nature shows."
happy,A rare delight to be in the when it is so quiet and the light of a summer is evening is so splendid
happy,yes i met her. We were tlkg abt the amazing number of visitors they got for
happy,Great Baramundi fish with Clive Loveless. Aboriginal art having a moment with show
nocode,This is our final weekend before a 2 year closure to complete our building project. After Sunday we will be in other places
not-relevant,"i have been making some like-paintings photos. Pls, exibition would be possible?"
nocode,British Museum: Abstract art: ornaments and aesthetics in Bronze Age Britain and Ireland
not-relevant,"The 2nd GENOCIDE against #Biafrans ,3days of unreported aerial Bombardment in CrossRiver #Biafraland"
happy,"Looking forward to #soundscapes 'hear' the paintings, 'see' the sounds: how intriguingly enticing!"
happy,St Ives Cornwall News is out! Stories via
happy,"That is a fascinating bit of art history. Thanks! I LOVE Albrecht durer is art. Gloria Poole,RN,artist, Missouri"
nocode,St Conall cael is Bell &amp; Shrine 6century Shrine 10 century @ Donegal County Museum on loan from
nocode,"""Every good painter paints what he is."" Jackson #Pollock coming soon"
nocode,a chance to see artists friends of ours #sarahturner
angry,#AskTheGallery #noprivatisation #ReinstateCandy
happy,Search for your 'Treasured Possession' ; a museum with more treasures than you could imagine 🎎🎏🎭🗿📚📯🚋🏆
happy,"thanks. Like you say, you have to have a go :-"
happy,Spectacular gems and Renaisance jewellery at the new Waddesdon Bequest gallery . Go admire!
nocode,"'bonaparte is interview with the astronomer at Milan', c. 1800 #Waterloo200"
happy,Starting my sister is hen do was an excellent idea. V friendly security guards.
nocode,We have a #WarMemorial workshop coming up in your area! Please help us save our War Memorials!
happy|surprise,i am intrigued by the portraits and text on the walls of this picture &amp; the lady with the beans?
happy,# I Love The National Gallery! #Beautiful!
nocode,Painter #JackSmith was #bornthisday in 1928
happy,"i am not sadly, at a session in run by about older people in museums :"
nocode,cambridge is world famous closes for two years for major redevelopment
happy,In London today visiting Obligatory Great Court shot...
happy,Wow great to see it!! Hope to get new app up soon! ;
nocode,#FF
happy,Exquisite works by #painter Paul Rubens presented by
happy,What a bustling wind are blowing in this amzing painting. Your senses almost feel the sea air #paint
happy,I am now a proud member of if I could only work put how to book a ticket as a member ;0
happy,Thank you The first show saw 178 paintings being displayed! Several of them are known today
nocode,From The Tomb Of #Nebamun — 1350 BC | #Egyptology #Archaeology #AncientEgypt
happy,A real must-see 'Defining Beauty: The Body in Ancient Greek Art' #London #art
nocode,Top story: 'How tall was Napoleon? Did he say 'not tonight Jose… see more
not-relevant,BAME applicants esp welcome for 1 year cultural traineeship Deadline 30 June
nocode,"""Yes it is real &amp; not man made"" Discovered in 2012"
nocode,a greave?
happy,""" Incredible jewels at the 's new gallery."
nocode,I will.
nocode,Aunt Fanny says there is a simply wizard Enid Blyton exhibition coming to
nocode,What lies beneath: drapery and the suggested form via
angry,""" #BobandRoberta: I am angry more artists that have a profile are not speaking up #foundationcourses."
nocode,"The body as beauty and bearer of meaning Last few days of Defining Beauty, The Body in Ancient Greek Art exh ends 5 Jul"
happy,Glowing 5 stars for Jackson Pollock review – this is art as nervous breakdown ... and it is majestic
nocode,
happy,that is a cool #statistic! Well done
happy,So tired after sleepover. No seats on train from London to Nottingham either! Didgeridoo man is dreamtime tales were great!
nocode,What to do this weekend? Try #ChristopherWilliams staged photographs
nocode,final chance 30% off framed art ends midnight tonight! 🌞 Enter SUNSHINE code 🌞
angry,""" #BobandRoberta: I am angry more artists that have a profile are not speaking up! #foundationcourses."
nocode,reconnecting Mongolian &amp; Siberian people with their history: new exhibition River Stars Reindeer
nocode,A tour of the inspirational town as a Tate Britain retrospective opens
sad,shame about the idiots who post rude comments throughout!
nocode,"i am at in London, Greater London"
happy,Great insight into #BarbaraHepworth show &amp; the exhibitions exploring her art &amp; _StIves
nocode,Interview with director previewing next month is extravaganza. See u at the 11/07
happy,What better way to get creative inspiration than to go to the Museum ✨
happy,. LOVE bomberg is #JuJitsu ‘the new life should find its expression in a new art'
nocode,"#NG365 Jacob van ruisdael is ""A Rocky Hill with Three Cottages"" #art #twitart"
nocode,I never knew they had one!
happy,stylish ceramics from a very talented artist #anthonytheakston #pelicanjug #ceramics
angry,"#AskTheGallery Dr P would not you like to leave with a noble gesture? Stop #privatisation, #ReinstateCandy, support union."
nocode,"This #Cézanne masterpiece, on loan to is at risk of being sold abroad."
nocode,steve is UK art &amp; creative Daily is out! Stories via
nocode,#BPPortrait #photography # awards
nocode,Volunteers needed for ARTIST ROOMS: Gerhard Richter Deadline: Fri 3 July #artopps
nocode,Day out with the Japanese Embassy and
happy,that is fabulous! thanks :
nocode,there is this ABBA song?
nocode,"Lessons in death and living 4 July, 2–4 with Jon Underwood &amp; Christina Bradstreet"""
nocode,Last chance to catch Defining Beauty: The Body in Ancient Greek Art ★★★★★
nocode,"Weapons of resistance: Jandamarra, a hero of the Bunuba people via"
nocode,#Artist #impression of #SummerSolstice by #Bertram #Buchanan early #20th #century from
not-relevant,Thanks for the recent follow Happy to connect : have a great Sunday. via
happy,"Fabulous day with ... Greek beauty, Australia, Napoleonic propaganda &amp; so much more!"
nocode,Our #soundssublime festival returns on 18 Jul! Free events at &amp;
happy,What a delicate delight for the eyes this is #art
happy,Fab Indigenous Australia exhibition do visit before it closes!
happy,That was fascinating! Thank you for posting!
nocode,"It looks Egyptian, and judging from the shape, my guess is a mummified young crocodile."
nocode,Coming up this Sat! See you 1.30-4.30pm with some interesting #archive material re architecture of
nocode,Brief visit to the and back home.
nocode,"i am at in London, Greater London"
nocode,As prepares to close for two years director is live 5.45
happy,Fascinating mtg at to meet with curators &amp; mgmt to discuss closer working links with schools &amp; museum resources. #history
nocode,with support from giving an insight to degree subjects. Post 16 'Subject Taster Week'
nocode,#AskTheGallery How much did receive in sponsorship fees from Shell for branding the Rembrandt exhibition?
happy,Went to the Indigenous Australians exhibition this evening fascinating and fabulous not too many dots
happy,"Ancient roman wedding ring from the . See the clasped hands, just like in the novel Summer of Fire"
happy,one of my favorites also!
not-relevant,Hey! Check out the national singing competition Open Mic UK! Open to all types of acts and all ages!
not-relevant,
nocode,"i am at in London, Greater London"
nocode,Sign up to e-news and you could win an #ExhibitionOnScreen DVD
happy,It makes my heart sing to see the #Elgin #marbles at the #inspiration #art …
happy,Had a great tour of the with now at enjoying The Five service.
nocode,jim is bathroom where we find an old glass milk bottle filled with #Foxglove #Nigella &amp;…
nocode,From to the World! exhibition opens tonight until October. Learn about the #legend
happy,Thank you so much for your amazing 'Defining Beauty' exhibition. it is an aesthetic feast!
nocode,Tomorrow opens 'Jackson Pollock: Blind Spots' at the ☞
not-relevant,"The second GENOCIDE against #Biafrans as promised by #Buhari has begun, 3 days of unreported aerial Bombardment in #Biafra"
happy,Because today was not perfect enough: gelato affogato
nocode,New trailer for Many Beautiful Things ft. #MichelleDockery released via
happy,how wonderfully unpopulated!
not-relevant,are you saying you are not the Wicked Witch of the PNW but really Deborah the Good Witch of the UpperMW?
not-relevant,"Ceri-Anne, Arts Administrator &amp; me enjoying the ++ weather doing a recky for Castle Hill Open Day signs!"
nocode,Don't miss James richards is sonic installation of Francis bacon is 1953 Study for a Portrait
happy,Lovely day for #DiscoveryDay- thanks all #artseducation
nocode,From The Tomb Of #Nebamun — 1350 BC | #Egyptology #Archaeology #AncientEgypt
nocode,who owns all this Art?
nocode,"The history of avant-garde museology. #ArseniyZhilyaev in conversation Thur 2 July, 7pm"
nocode,Discover The Arts with Social Media: NOHO Featured Artists Blandine Bardeau and Hermoine Carline 🎨
nocode,Helen Wilson talks about her CDA PhD work w/ Do innovative techniques add to #cdavalue?
nocode,Off to London for #CivilisedBodies and then to talk about 'Greek bodies' this evening. A day of bodies!
happy,here is me trying a spot of life drawing at fabulous in Cambridge
happy,Art museums can open up a whole new world to our children via
nocode,"15-25 and near today? Join in with RE-A-LINE: performance, talks and artist led workshops, 11.00-15.00:"
nocode,On my way to this morning for the press view of The new Jackson Pollock show
happy,thanks a tonne! I also loved the podcast Neil MacG did on it intriguing to say the least that a 'faery tale' was...real?!
happy,"Fascinating, thanks. What an odd place to exile anyone to!"
nocode,What can the Old Masters teach us about living a meaningful life? via
nocode,I think he was crowned in 1520.
happy,i have missed it too will have to look for it next time ;
happy,So excited! Less than a week until the #JacksonPollock exhibition starts at #cantwait 🎨
happy,# Sooo #ROMANTIC!
nocode,Free CPD afternoon for 2016 'War Games' exhibition on Thurs 2 Jul from 4pm #plymouth. Details at
happy,Looking forward to Amelia Smith speaking in 'CDA innovation showcase' #cdavalue
happy,"The #defining beauty exhibition was wonderful ,looking at the body in Greek art ,like being at home !"
happy,Gloomy weather getting you down ☔️😞? Go to for their last day before 2 yr refurb; instant feel good fun
nocode,and you could always read Art as Therapy
happy,Absolutely amazing space and venue for ShakespeareanTCS summer drinks party
nocode,"staff, trustees, managers should have an informal, friendly open chat. Why not? Clear air."
not-relevant,1 week left to apply for the Head of Marketing role Could you play a significant part in it is success?
not-relevant,"The 2nd GENOCIDE against #Biafrans as promised by #Buhari has begun,3days of unreported aerial Bombardment in #Biafraland"
happy,then it is a must to take the time to take it all in #enjoythemoment
happy,"Art update! Ready for the new guests, hope they like them! #ElisabethClarke poster"
happy|surprise,Loved #IndigenousAustralia exhibit this aft although surprised that #PaulKeating 1992 speech did not feature in timeline
happy|surprise,yes a day is not enough... what is #Futureofmuseums? I have not heard of this
nocode,#philgrabsky is latest blog shares an interesting article related to the exhibition about Durand-Ruel
nocode,steve is UK art &amp; creative Daily is out! Stories via
happy,Fascinating! Thanks for posting this!
happy,View not bad from café either!
nocode,good question have an answer
happy,"Summertime in Cambridge: #Running, flying, sitting around and ... singing."
nocode,Have you got any interesting talks coming up? Feel free to add them to our site :
happy,Inspiring architecture of the Saw the Rosetta Stone &amp; many cool treasures!…
nocode,has it gone elsewhere for 2 years? Notice that #Leeds has #gaudierbrzeska show.
happy,THANK YOU SO MUCH 💖 X
nocode,Learn more about #pollock is black paintings in our stunning catalogue for show
nocode,"hundred, wool, scrlj"
happy,Great day so far! #CastleHill15
nocode,symbol frm the past. Attitudes of tolerance are never fixed. They are being constantly re-negotiated.
nocode,Don't miss the brilliant Christopher Williams show before it closes tomorrow.
nocode,Pop Up Dance by North Cambridge Accademy #CastleHill2015
happy,so good to see the film. I missed them rolling down the hill in real time... #materialhistories
not-relevant,". are hiring a Graduate Trainee: Fundraising. Paid, 1 year, full time. Deadline: 29/06/15"
happy,"Spent the morning learning about #8mummies Fascinating and well-presented; a right balance of objects, info and interaction!"
happy,Jackson Pollock: Blind Spots opens on 30 June. Can't wait. #art #Liverpool
nocode,oops
happy,Europa seems quite happy to be abducted by the bull Zeus. :
happy,JUST REALIZED I WILL BE ABLE TO SEE THE #8mummies EXHIBITION AT THE I AM SO HAPPY
happy,Working meeting at &gt; what a great start to the day
nocode,‘soundscapes' opens soon at — &amp; more:
nocode,it is a Mosque now
nocode,Barbara Pezzini lecture ' and modern British art' next Monday! #CDPPhd
nocode,"Napoleon was defeated, but you british are afraid of him until today."
nocode,it is my local class.
happy,such an interesting article about cabinets of curiosities 💙 📝 📎
nocode,Drawings 'Defining Beauty' exhibition.
sad,"Crumbs with Dudley, and posting Henry VIII, feel a bit threatened by my Museum tweets as a Catholic today :"
happy,yes please!
happy,"Take #AWalkontheWildSide today with a visit to the art gallery. FREE admission, prints from the and so much more! #VisitKent"
happy,"Wellcome to Instagram, Just in time for #InstaMuseum tomorrow :D"
nocode,Headless Ones. photo #London #flickstackr
nocode,"i am at in London, Greater London"
nocode,"syracuse is the Greek colony coin Demareteion, BC 480, and Paolo Orsi Museum"
nocode,"""Publishing Art Writing"" Sam Thorne Scorecard 30 Critics cited 29 Male 1 Female"
nocode,Eliminating an ancient blinding scourge: trachoma in Africa talk from July 10
not-relevant,Anyone know any artists in China who need an assistant in Oct '15? Pls RT to spread the word!
happy,Cambridge-bound to fulfill my lifelong dream of seeing the And maybe a punt. #travel #England #cambridge
happy,Looks interesting: upcoming Archaeology of Childhood 2016 exhibition at #histchild #twitterstorians
nocode,On tonight learn about the Irish at Waterloo with
happy,All the best to Camden Family Learning for today is event
nocode,Yup.
happy,The Barbara Hepworth studios are a must if you visit
nocode,""" Colbetween Dutch painters was common when Hackaert and Berchem painted 'A Stag Hunt in a Forest'."
happy,Fantastic opening night for Sir Terry Frost. Wonderful curation by
nocode,""" Today is the Feast Day of John the Baptist. Explore his life through art:"
nocode,Kessel: canaletto is 'The Feast Day of Saint Roch' from depicts a temporary exhibition #objects2015
nocode,another picture from outside the #London
happy,Really enjoyed the exhibition today. Now want to find out more :-
nocode,". . ""#England is a #Nation of #Shopkeepers."" #Napoleon #Bonaparte"
happy,"Thank you for posting this, it is amazing! I have shared on social media."
nocode,"which led to 1st WW which led to Fascism, Stalin &amp; Hitler"
nocode,#Roman #Devon #devontop100 #romanbritain #romandevon #archeology #devon
nocode,Happening today #FlaminProductions Booking essential
happy,But she would not mind!! Her St Ives garden is one of my favourite places ...
nocode,#Nigella &amp; #aquilegia caught amongst scrolls of #Grace&amp;speed Birds of #gaudierbrzeska in helen is bedroom
nocode,"Gare Rue Verte, #Rouen, no.7 Cyril Power c.1929"
nocode,30 mins til 2 from Dan Snow live on the 200th anniversary of #waterloo1815 in #BonaparteAndTheBritish
nocode,"It really is a horrible thought marginally better than having no teeth, I suppose..."
angry,"strikers raise £1,000 on protest #reinstateCandy"
nocode,Will u do some posts of #breastfeeding for Nat'l #celebratebreastfeeding week 20-28th June?
nocode,"Stonehenge on summer solstice,sun rising behind slaughter stone,Bertram Buchanan 1889-1920 v"
happy,"I will! World Premiere was in Jan at , hopefully another screening soon!!"
happy,Clandestine Pics Old Compton St Soho!
nocode,today is view
not-relevant,"hard to reduce the price of rail travel given it is, er, privatised..."
happy,Find great content producers on #Periscope like
angry,very upset with your invigilators. Very rude arrogant when enforcing the no drinking rule.
nocode,Lunch break #insect #alternative #protein 🐜🐜🐜
nocode,"i am at in London, Greater London"
nocode,Obligatory Great Court shot
not-relevant,Link del día! El link más popular entre la gente que sigo es por
happy,"#BingeThinking 3 exhibitions in 1 day. #DefiningBeauty, #indigenousAustralia, #ancientLives breathtaking"
nocode,Today is the final day to enter our art DVD and book bundle giveaway: via
happy,Wondrous day out in Liverpool with &amp; Mindart. Peter blake is Razzle Dazzle Ferry &amp; Brilliant!
happy,hahaha they are still seriously beautiful and in my head they smell so strong I can smell them from here 😍xx
nocode,#CastleHill15 today with Don't miss out family fun 12-5pm. What could do for you? 🎭💃🏼🎵👍🏻😀
nocode,Want to learn about #IndigenousAustralia? Follow us &amp; RT this &amp; you may #win 2 tickets #BenugoTickets
happy,Great to see on the panel #Circuit2015 today Collectives
happy,I took this picture while I was in the archive. Coolest sea monster ever.
nocode,"Yes The genesis of the Group started exhibiting in 1925 but their first ""Group"" show was in 1928"
nocode,"A senior rabbi, a leading composer and the director of the were given honorary degrees:"
happy,really wonderful!!!
angry,FYI . #ReinstateCandy
nocode,"Starting #reading ""Participation"" by #ClaireBishop thanks to"
nocode,Looking for a special way to spend #FathersDay? we have got lots of great events to choose ... via
happy,Looking forward to Amelia Smith speaking in ‘CDA innovation showcase' #cdavalue
happy,A second day of inspiration for our AS artists and
angry,"Commercial, not collegial: Why are fees for art loans to Abu Dhabi not disclosed under uk is FOI law?"
happy|sad,"Sad to see closed, but knowing it will be back, bigger and better, makes it a tiny bit better!"
happy|sad,Spent the evening &amp; could not stop smiling altho was sorry the Reading Room was closed.
nocode,Ending the first day of #objects2015 with an evening visit of the museum
nocode,Culture + land + health are all entwined #IndigenousAustralia
nocode,""" The Greek inscription on the sitter is cap in this work translates to 'Alas, I desire too much' we are all a bit like that"
happy,Looking forward to Glenn Ligon &amp; Jackson Pollock opening tonight.
happy,Congratulations to our trainee on a fantastic #Baroque redisplay
nocode,"MT "" Anglo-Saxon drinking horn from the Taplow burial, late 6th C AD On display #mead"
nocode,"""How to Appear Without a Trace"" by #NicoleCoson at"
nocode,"body of work portrays emotion of happiness, widely acquired, public art."
nocode,Join the at Australia House for a Talk: Indigenous Australia Tuesday 23rd June
surprise,how weird you should say that when i have been at #barberinstitute and took this pic
surprise,Cod piece made of armor?
happy,we would LOVE if you could attend our #DIY #poetry &amp; #illustration #bookLaunch this Sunday: ThankYou
happy,A work of art ; Enjoying my Jackson Pollock cupcake at press view today. Tastes as…
happy,Excited for an evening of #Shakespeare a large canape recep #Banqueting House &amp; our 2nd eve in a row
happy,that is awesome!
nocode,REVIEW: #IndigenousAustralia : Enduring Civilization If institutionalizing indigenous art heals ****
nocode,Hapsburg jaw in evidence there.
happy,thanks a visit is on the cards 😊
happy,that is a treat! Didn't see names until closer look. Amazing textile survivor
happy,Looking forward to the sleep-over tomorrow! Not so much carting sleeping bags around London :
nocode,Twitter pictures would give the best chance of recognition
nocode,"Read what our Director, Nicholas Penny, has to say about beginning 3 July... via"
nocode,Now at the
not-relevant,sorry as a member I mean :0
nocode,"#NG365 Jacob van ruisdael is ""A Pool Surrounded by Trees"" #art"
happy,here is me trying a spot of life drawing at fabulous in Cambridge
nocode,The Top 5 Art shows 2C in London
not-relevant,Absolut. Das Verkaufen liegt den Berliner Museen nicht so wirklich...
happy,"Hahaha! When you showed me and that woman eavesdropped, then we saw her go over to the spot right after."
nocode,Khufu found ? Cheops gefunden? Build 500 m high Pyramids! Interaktive eBooks! …
nocode,"Gustave Caillebotte: The painter is Eye 27.06.2015-04.10.2015 ,Washington"
nocode,Pick up a copy of the beautiful Catalogue of The Cabinet of Curiosities at the blue caravan.
happy,Day dreaming about my date with these fine fellas at the #AdventureswithTuck…
happy,pretty cool!
happy,How lovely. What a thoughtful young woman ?. Amazing the grace with which many bear their disabilities ...
nocode,This will be our view tonight on #sleepover
happy,New gallery exhibit is a hit with visitors
happy,preciosas y muy representativas....
nocode,"speech in Lords included #noprivatisation #reinstatecandy #reinstatecandy"""
happy,Excited about Castle Hill Open Day tomorrow Loads of great stuff for families and all free too!
not-relevant,""" Parmi les grandes neiges de #Monet Me gusta."
nocode,Greek bodies!! Tonight. On panel Classicism and nationalism: the Greek body in Enlightenment Europe
happy,Thank you very much!!
happy,TATE: This is also one of our favourites from the via Twitter …
angry,People who &lt;3 &amp; care about paintings VS cheap temporary contracts and unknowledgable staff #AskTheGallery
nocode,#Postgraduate students of visit Gallery:
nocode,"Tarot garden took 20 years, opened in 1999"
nocode,'Palm' #ContemporaryBritishArtist #Modernist
nocode,Link of the day! Most popular link among people I follow is by
angry,#AskTheGallery Will you recommend trustees end oil sponsorship &amp; making people complicit in climate change to see public art?
happy,it is wonderful!!!
not-relevant,The second GENOCIDE against#Biafrans as promised b#Buhari has begun 3 days of unreported aerial Bombardment in #Biafralland
