ori_sentiment,tweet_text
surprise,"I want to go outside and play in the sunshine, but I have to sit in front of a computer all day At least I can have lunch on the patio!"
enthusiasm,Evenin' tweeties. Phew it is been hot! Not that i am complaining. Walked 4 miles into town today and felt all hot 'n sweaty Was nice tho.
worry,I just got busted by the owner of our company playing with a squishy ball at my desk...he asked if I needed more work to keep busy
neutral,I do not like when my g1 changes. I feel like google should send me an email and tell me all the things they are gunna do to my phone.
neutral,is in history
sadness,"No running for the past couple of days due to bad knee Still, Guitar Hero Metallica arrived and has kept me amused...Time to ROCK!!!"
sadness,that is actually a better name than fluffballthegodzilla my youtube username. ive been beaten
surprise,Hi!!! You are pretty man... I cant upload more pics here for some reason You wrote you wish to find a women ...
sadness,i want so bad to go to the mcfly is concert
worry,Cleaning + finding stuff to sell. i am so poor.
surprise,sleeping in was interupted by JACK-HAMMERS at 9am Damn! Universe says GET UP! But I was up intil 3am 'cause I thougth i would be sleeping in
fun,tonight in party w/ my girls minus vita
worry,My heart has been beating irregularly ever since last night. I do not want to explode or implode
worry,"Just hit the 3000 word mark for his Geography Notes, and i am not even doing it for GCSE? Mean while i have done a page of history"
sadness,why nobody write with me ? !
sadness,#hollyoaks .... The curse of justin strikes again.... Date the burton and end up screwed poor sod
hate,Hate I am going to miss the tweet up this weekend
worry,family are home doesnt seem like they missed me at all tbh
sadness,you are on mii shit list...Permanent mii dude
worry,I forgot to charge my cell last night and now it is dead
worry,has dislocated her knee *bad/painful times* gas + air and morphine are fun though
worry,i am still waiting to find out what #caca stands for hoping it is not what I think it is since you #follow me for #caca.
empty,Writing an essay in college writing so boring
worry,I wanna longboard but it is raining ughhhhhh
love,shopping! Migawd. i do not want to surf the net anymore.
love,yep im very jelous too id love to be in miley position haha x
neutral,me too. she is everywhere...
sadness,Oh no! I used my internal sig for an external e-mail damn. #fb
worry,Think must have blocked me as not heard a Tweet from him for a while
empty,at work doing website stuff with a slight fever and tiny headache
sadness,its what i say why!!!! k4ge last day at the job today we wont be saying him around anymore
neutral,No. I will not be back until the 7th
neutral,my family went to the beach while i was at the pool with a friend and now i am stuck in the house till they get back.
neutral,i actually need to be cleaning my house
neutral,tiss sad when people leave
sadness,I need to stop being sick.
hate,Ready to kill myself i hate history
hate,"YESSS, FLASH IS BEING SHITTY TONIGHT! It.........takes.................time...........to.........open...........a..........webpage......"
surprise,"Aawh, that; s too bad"
worry,I do NOT feel good today
neutral,at work till 7.
neutral,Dï¿½jï¿½ vu!!! Changing out of my GQ outfit
worry,translating my topic &quot;quadratic congruences&quot; for my tutorial in elementary number theory I have to do this tutorial OMG
worry,if you need to talk or vent let me know
surprise,we can not see the video it is private
sadness,i miss my puppy
love,i dunno what i am gonna do. i love my skinny jeans!
love,"I wanna go, I wanna go!!!! but I can't"
worry,YES I AM GOING TO BE A SOPHMORE IN COLLEGE. Geez. Cant get a job because everyone thinks im fifteen.
hate,and this terrible cartoon that is supposed to be mexican.
worry,"Hey Hey!! I got this custom designed, one of a kind Superfresh T over here with somebodies name on it collecting dust"
neutral,i want so bad to go to the mcfly is concert anybody up to go with me?
surprise,got caught in the rain outside. now im cold bbbbrrrrrrrrr
worry,"ROFL! that is my problem, only two hands"
sadness,but he looks so much better with short hair
boredom,Just woke up and feels so damn lazy time to work out damnit!
surprise,wow! Leonardo DiCaprio and Jennifer Davisson Killoran are the producers of the movie: ORPHAN !! i have direct contact info for them too!
sadness,ah remember the days when you would sleep in until noon? well guess who did that today? god i feel like a loser
worry,sore throat and a headache starting on a friday is not a good sign
worry,Summer makes me feel ugly all the pretty people are out showin off their good genes damn them to hell!!!
worry,feeling the need for more advil.
sadness,"lol, we are staying in, Craig got footy, so Molly and me missing all the good weather, we have no buggy either."
neutral,Exactly 2 weeks left in Sigma
worry,Watchin Hollyoaks...poor Justin!
hate,not funny he profiled my ass. Like wtf? i am still kinda heated. Ugh
neutral,i am still waiting for Separate Ways...
worry,"ohhhh ouch dude, I got it now I was drunk last night and did not get the context. Sorry dude."
sadness,got caught in the rain outside. now im cold bbbrrr
love,I lluuvv u too.. ahhh im gonna miss u evenn moreee! lol
sadness,goodbye picnic for a classmate today but the weather was fucking beautifuul!!!
relief,Proof of heat good day wish I had not spent most of it in bed
sadness,School Over!!! i am gonna miss a bunch of people
worry,"Dana just found out she does not get to take lunch now, but rather in an hour. Hello delivery."
love,"can't wait to watch the Tonight Show, this evening last one with Jay"
worry,i am not sure about this tweet business Why are the simple things so difficult?
happiness,My car is home. Yay! $613.22 Boo! i am paying my mom in installments. I gave her $200 today. I so need to win the lottery. :\
empty,When God created man i also believed he created a million people to get on ya tits for a laff
happiness,"forgot to answer your kindle question yesterday. honestly, have not used it much. have two paperback books i want 2 read first."
hate,both electronic keys stopped working. there is no keyhole! cant get in my car. so much for technology
worry,nataliaflewell hey all so bored and in pain .. anyway god is my love life ever screwd
worry,1st day of work today was a bit tiring but ok lol now onto college work
worry,"Oh, do not hurt yourself!!"
surprise,Did yall know a kid drowned after trying to swim to the bottom of the ocean in order to find sponge bobs pineapple house? rofl sowy
sadness,"i have got sunburn on my arm In better news, my new Guitar Hero: Metallica game came and I beyond happy about that."
anger,i hella wanted a sausage mcmuffin but when i gt there breakfast was over
neutral,found out that no one he knows is using Twitter.
worry,one is gone to my husband who is going alone Other I might just leave at box office under a random name for anyone...
sadness,i am missing everything at work I want pix of !!
neutral,"lol, I know how you feel, but with 4 kids and my current work load, I am maxed out with no time to grow things."
relief,I am also wasting time til my cab gets here. spamspamspam. Also Keiths motorbike was nicked. WELL shit.
hate,I hate crowds
sadness,OMG i just realised while listening to &quot;perfect story&quot; penny liked dr horrible!!! damn you captain hammer! omg im so sad now!
hate,"it is the weekend, its sunny..... and I got another puncture!!!"
hate,u feeling urself so much u cant say hi??? me no likey u
worry,"Ouch, i am sorry then"
worry,that was horrible. I didnt ask u to. But u did not have to laugh about it. it hurt a little inside here *pints toward heart*
worry,is on the road now! with 7 hours ahead and a beautiful girl behind
neutral,"I just slept that entire flight, and woke up to the fact that the girl beside me had been watching Chitty Chitty Bang Bang!"
sadness,"Schools out, but works in"
worry,i think its like 1million degrees here &lt;3
worry,"Sad that our neighbors just cut down ALL the trees around their house! It looked so pretty before, and they seemed healthy. Tragic."
worry,I do not think my friends like me anymore via #zenjar
neutral,.. and you are on twitter! Did the tavern bore you that much?
surprise,Ohnoes! that is icky!
worry,My throat hurts
love,I know!! Im so excited. We cant go earlierrr than the afternoon? I love you tooz &lt;3
sadness,Last business day of the month is the wrong time to get new tags. About 45 people
worry,class is almostt over
worry,wishing technology was not so complicated
surprise,Running around doing errands on my last day in Charlotte I would much rather be shopping!!
worry,are you having any problems sending images from Twitterberry mine just does not want to work ! Xxx
neutral,request me on bbm &amp; send all ur contact info. Everything did not sync up from old phn I have ur tmail info haha DATED!
relief,Got my new phone now to program everything since my old one had no memory card like this one
surprise,Warren and Hannah are dead ... oh my godd!! Seriousslyyy this is a tragidy !
love,Anyone have a Super Nintendo Controller they want to sell me? Mine broke.
worry,Looking for a new laptop battery. Why are they so expensive??
neutral,"sux, i am thinking of being an accountant. Mad monies! i am a middleschool cafeteria manager 25k/yr"
neutral,*old me is dead and gone*
worry,are you guys dead again? I can not load it up
hate,someone WOULD give a speech about loved ones in the hospital. Stupid COMM class
neutral,Glued to the copier machine today.
hate,i do not know !!
neutral,shut up you know what! oll just like zack again then.
sadness,"if i can get a ticket, but the pickings are lookin slim soo prob not"
sadness,Heading to work on my Friday off.
happiness,Well...I would love to have a Zoo! ;P Dont think I can be there sunday. But sometime I will !I want to!
worry,How come?
sadness,Is on the couch hungover--don't expect much out of me today
worry,Sorrry i am ready to leave.
sadness,"Just bad day. T_____T Gyah. No car, baby-client is teething and miserable, I forgot to pack a lunch, and I has to get a new car."
sadness,Flash lost my frisby on a roof. Sad days LOL
surprise,"Thought i would check out home, that was 10 minutes ago, downloading update, now home square....that is why I can not be bothered with it Sony"
empty,Having Problems With My BlackBerry UGH I need another charged Battery! @ least 4 now
hate,I hate the dentist
hate,haha that sucks! actually mine is worse. mines ft math eww
worry,My aim is not working due to network problems
sadness,i am still here in the office...and the sun is shining
worry,"Being tall has its ups and downs , my legs are in pain"
worry,"Geez sorry to hear Steph, I hope things improve soon. I know that am not much sorry"
worry,Such a beautiful day...wish my bike had not been run over by a car hit and run. #bikeTO
sadness,oh my gosh!!! hollyoaks was so sad tonite
surprise,:O Can't believe Hannahs dead in Hollyoaks!!
sadness,Way to many people were crying at the school picnic and now I have to decide if I want to go back or go to public. i am confused and sad
worry,poor baby girl chloe is freaking out because of all of the noise! She so cute and pitiful hiding under the middle of the table!
fun,Carol Vorderman cancelled her interivew with me... so now I have no proof against all you non-believers!
sadness,i bit my tongue sooo bad...it is swollen.
sadness,please do not roll your eyes. I can not handle that. *cries*
worry,"I do not know, ask Carolyn. Also, we will not have the boxes empty by the time you get off."
sadness,mcfly anit been on here in ages z
worry,ugh back in reno
neutral,'s hair was on fire right now! Ewww it smells
worry,i am slightly disturbed by Hollyoaks tonight. I really do not think it is something that should have been shown at 6.30pm...
worry,"yeah, precisely what I was thinking"
neutral,Just got notified my podcast was accepted into iTunes. Of course I then realized it was miss formated Fixed now.
sadness,Working during graduation. What a shame.
worry,i waited too long to buy pink tickets! now we are going to be in nose bleed!! how sad we are taking binoculars...
worry,just spent an hour trying to get the newborn bird in my front garden to fly. poor baby no success!
surprise,&lt; that! its so cute and currently has ymas pumping full blast ! i dont know what to revise for comms
surprise,Omg. that is all I can say
worry,"argh, i do not feel too good"
hate,lif is unfair....luk wat it did to ma frend...i m so hating it
sadness,"SPGridView is looking prettier, but i am pretty sure my code is very ugly."
sadness,is feeling the effects of spring. My sinuses are killing me
worry,My tomato soup tastes like red peppers
sadness,Soo sad my McMcBuddy thinks I look like I could have a little rainbow ... I like burritos ok! BURRITOS!!!
worry,"Sorry you are having a bad week. I feel like if I could get good sleep, I would be so much better too. Fog"
worry,"LONELY, I AM SO LONELYYYY ... plz come back"
surprise,"def see ya tonight, we must get some RN photo is, I did not get any yesterday lol! And thanks for doing so, please do not forget!"
worry,endodontist should be able to do it without removing it. Just hope my ceramic crown does not shatter some time later
surprise,why is it still raining?! at least i have cute rainboots
worry,"The sun just came out!!! Pray for me guys!!! Writing skills test No pass, no class, no graduate -.-"
neutral,aw you could have played the penis game with me this morning! Nobody else wanted to play
neutral,LMAO I know I know
relief,"Today has been a nice positive fun day , after several weeks of bum days"
sadness,No one loves me Brittany forgot my flowers...
boredom,i love those boys. i missed the chat yesterday it was the firts &amp; only one i will miss though! &lt;333 Nick Jonas &lt;3333
sadness,i am sad. I want to go to the sd zoo. say hi to the giraffes and elephants and polar bears for me!
worry,My Photoshop will not let me save anything Due to a disk error. The blend took me 1.5 hours!
neutral,is actual gonna need a new job and not just want
hate,"not very effective for me i am stuck! i either sit up, let it cramp or lie down and pay the consequence later. EEPS!"
neutral,Schwarzenegger proposes closing 220 state parks
neutral,I look like schuhz and arabyrd now...
sadness,really not feelin well...
sadness,some..and some not only my 2 best friends go to the same school..the others change schools.
worry,out with dad to see up. sad that mom can not come
love,"awww bb, you sound lonely I want to drive up there/fly and snuggle you too"
sadness,i think june gloom has arrived
surprise,it was WAY too fast
neutral,!!!!!!!!!!!!
worry,Wheres my phone ?!
worry,Homey missed da bus.
neutral,"Y I GOTTA B TALKIN BOUT CLUBBIN Y CANT I B TALKIN BOUT THE MOVIES,DINNER,OR JUST HANGIN OUT"
worry,I think i would die if they played Pushit. I missed them when they came last time. When Isis toured with them
worry,sorry did not get to see you
happiness,LOL! Girl that video disturbed me and I love the hk theme too cute!
worry,woke up to boxes to the ceiling and now he can not find his yerba mate or coffee beans.
hate,wow. i just install twitter fox. I am tired to keep refresh my browser
sadness,some advice for all of you: dont pressure wash your foot. it hurts and is not worth it. you really do want the skin on your foot. FYI. ow
worry,"feel like a junkie i live in chronic pain disorder with fentanyl an morphin, that is not nice... it really sucks"
surprise,"I know, huh?"
worry,"hi angela, can you check your email? I need one thing from you sorry if it is your day off"
neutral,Oh dear Boyle is staying ...
sadness,Can today go any slower? Time is just dragging by.
worry,"sorry, that is probably my fault."
sadness,"Urghh, i am gonna do my project now do not wanna waste valuable weekend time"
sadness,following 865 and followers 539...not nice
sadness,I doubt it! Boo! You always leave me behind on your awesome roadtrips!
worry,Poor Thing
love,*hug*
sadness,"So has anyone had that yucky new throwback pepsi and mountain dew yet? If they plan on keeping it around, I will not be drinking it!"
neutral,o ok..im jealous..i wish I was in bed
boredom,"i am 20% hetero-challenged, but still did not care for &quot;Milk&quot;... I thought it was boring."
worry,shoutout to we are both starvin like homeless cambodian kids lmao
sadness,"so I wanted to DM you back but I could not cuz your not following me but thankss anyways, maybe ill see ya around in ELLE-AY ..."
neutral,.. .great.. you can buy me lunch when i get my 10-15% pay cut next month..
worry,your phone is not working!
neutral,Almost ready for new Beta.... until we found a showstopping bug Please standby.
worry,just ran some ACCELA unit tests for the first time in about 2 years... and they failed
neutral,its my fav since i was little its gonna storm
worry,"Yeah, I thought that was very little warning for you guys. I do not miss 12-9 shifts 6 days/wk with no break, that is for sure"
surprise,No surprise there. They probably do not know themselves where it is
surprise,"It says &quot;This video is private.&quot;, WTF????"
neutral,wants to meet Bill
sadness,is sad because his tea and oatmeal are cold
empty,do you need to go on a bike ride?
surprise,lame. you should have said hello!
worry,I want an espresso machine
worry,I am sorry.
hate,DIDO &quot;US 2 Little Gods&quot; &quot;Just this moment/ Let it all stop here/ i have had my fill&quot;...words that make you panic...
neutral,"ermm, more like a full black upper half. and some a completley grey"
neutral,yeah do you feel anything at all? I remembered I was looking at loopt on his phone and that nigga was coughin all over that
worry,thank for ur gnite and... *thank* for ur photo of sims 3... heart broken here
happiness,Hey! So glad it is Friday but not happy that I just ate a bad apple
happiness,Finished new moon! Woo! Now i want the next one...
happiness,Been sitting in garden with my mummy and also got a text from the boy who i thought had GOT THE HINT obviously not.
worry,we will see Craig might just hog u guys! haha I work till 10 tonight anyways
neutral,Danny cut his beautiful curls
worry,Just saw half the RRO staff walk by...sadly I did not see or
neutral,its almost lunch time for you
sadness,Im sad right now becuz of my lady
happiness,Dionusia made me do it
sadness,wants to goto lonovala for frenz wedding....bt....no transport arrngmnts wrkg out
worry,time to leave a passive agressive note to the owners. it is not the dog is fault... it is their shitty owners
sadness,will be lonely for 4 days because will be in baguio.
surprise,"Yolonda, I went swimming with my phone at the beach lol and so I lost all my contacts"
worry,that is no bueno...hope u feel better!
surprise,so....i am guessing no BGN?
worry,Feeling like the bum of this recession. Don't try to call or text me.
relief,I know the feeling
worry,I mean someone hit a dog with a car. It was just laying there
worry,"Nice to come out of a business meeting feeling desired &amp; valuable. Now, to come out of a date like that..! Or, to go on a date at all.."
relief,hahah no not that valley. that is cool valley. texas valley. like...rio grande valley. ahhaha i wish i lived in california valley
happiness,So much for buying that awesome new phone from sony ericsson I am now berry would like everyone else...
enthusiasm,just got the dreaded call from babysitter little H has bumped her head Sitter says she is fine and goose egg is going down fast
neutral,boo but will I listen?
worry,"gosh, i am sorry man. i will hope for good news."
worry,Trying to stay upbeat while I wait to get my keys out of my locked car
neutral,I want the rain to go away! There has been too much of it lately
sadness,aww im sorry im home now hope your ok i love ya wifey &lt;3 xx
hate,This is getting on my nerves. I cant change my pic
sadness,Running around town with Kathleen....she is leaving me for a month..
worry,Got insurance forms for Polo. Feel a bit Has to be done though.
worry,I wish our did not close
boredom,"Wow, kinda bothered that Jon is doing deposits now. Apparently he keeps getting fucked out of times, but deposits are SO hard for me"
worry,just got home from doing the big shop totally munched out because i was so starving and im at weigh in in the morning oops
sadness,its impossible to watch in full ANY flash video with my mac after 5.7
happiness,such.a.tease.
worry,"really ill again not been well for 2 weeks, i have got a bad viral infection."
neutral,"i want a dog or a cat or something i want something to unconditonally love, thats not materialistic or a family memeber"
happiness,Dollhouse was saved!!! Its coming back for another season!!! Too bad scrubs isn't
love,Loves using remote access to use my desktop from my laptop. -- Back from Emerge once again.
worry,Going to tmobile i need a new phone this G1 is so not working for me anymore
neutral,"Poor kitties If there is nothing that can be done, hopefully you will at least be able to find her a good home"
love,"no wayyy, that is too funny. well he sure is missing out, but ever since you left, i feel i am too when is your next visit?"
neutral,do not make me smite you! and yeah yeah it really does. No cuties for me
sadness,"i know, i was on the list, but had to miss out b/c of conflicting plans how did it go?"
boredom,grumble..weather man.. do not know wtf they are talkin about.
worry,is incredibly worried about Stanley...
relief,"An hour of walking in hot weather = a satisfied but hurting Nellie. Ow, blisters."
neutral,gutted your out off hollyoaks xx
surprise,"ha ha...just found a new cocktail: Dances with Wenches Cranberry Juice, Spiced Rum, sounds nice but I do not have any cranberry juice"
worry,i thnk ima cry i feel rlly bad
neutral,ok its FF soooo why is not anyone following MEEEE??? LOL ughhhh I have some lazy a%# followers they wont even help me out
sadness,watching the final episode of boys before flowers
surprise,hey you guys should invite me out...moody is my only friend these days
love,i am being held captive on my day of freedom.
sadness,Hey #socialmediatv ugh no way to do video&gt;blah {pouts} Social Media TV live &gt;
sadness,is pumped and bummed all at the same time.......
neutral,at 1st they said yes but it looks like they scratched that plan b/c of the supply demand
sadness,Tonight the last night of Jay Leno!!! am gonna cry like a baby!!
enthusiasm,"Shouldn't sit weirdly at the pc, I know Im going to hit the deck once I get up"
worry,is missing someone.. haayy..
neutral,"Please send me those youtube links, Erin watched most of them but I was cooking and did not get to see the cowboys"
happiness,"Haha, it will be gross by the time it comes back. Tell you what .. we will Yum! Vancouver some malay spot soon, or just go indian"
neutral,"never. smh, I do not own flats lol"
neutral,Content content content .... gah! Story of my life right now thx for reminding me. that is what I should be doing v. Tweeting
surprise,I dnt get to go play lasertag w/ my besties! *old me is dead and gone*
happiness,I want a massage!!!
worry,Bloody sunburned
sadness,// i feel your pain. i once lived in an apt for 6 mos where the previous tenant had 4 cats. burning eyes/tight lungs = gregg
neutral,#twpp ..still nw in trending topics..
surprise,i help represent high profile actors for their tv/film/theatre careers so get free tix.. but not for Jersey Boys..
sadness,"where have you been, child? i miss you, we have not msned in days!"
neutral,Sorry. you are in upstate NY. Does chilly weather really surprise you? FL is much better &amp; the panhandle does not get as hot
worry,oh no. opera 10 is not google friendly *weeps*
worry,Starting to spoil my pug since her brother Max passed away on Tuesday. We miss him.
love,Warren has just died.. hannah has been killed.. and i am gutted!!! I love warren even if he is nasty!!
hate,Tummy hurts oh noes
worry,DAMN IT! I want to see that movie sooo bad. Don't tell me anything. hehe.
sadness,Sad! Casue everyone is going their seperate ways! Never going to see my friends again!
worry,yes i am starting to feel the effects of humidity
worry,annoyed and overwhelmed
sadness,I wish it would rain...but it won't
sadness,dave why why why can not this happen when i am not working and can listen?! :::whining big time:::
sadness,"Fun idea. But, if we saw how clothing would really look on the slouchy, would we buy? Think not. People R buying the dream."
sadness,Really sick
worry,never answer me back
worry,So sorry to hear about the kiddo! Hope she feels lots better now that the cast is on
neutral,smh @ playing dress up! lol. I can not see the vid though... Its not working
worry,Potluck for danielle taking veggie tray. I will miss her
neutral,it would be so fun. too much to do. not enough time or money.
surprise,wow i just slept till 2pm..again... good job me
sadness,Hes just not that into you
worry,"i am game, too bad your leaving HI!"
hate,"specially when you are already burneded. wore mums shoes as well, and now im all blistered. it sucks balls.."
worry,You do not get them anymore?
enthusiasm,"off to go buy more deck sleeves and 3X3 card pages. Man, those pages are expensive! Stupid organizing collection."
worry,"california is budget deficit now at $24.3 billion means big problems and lots of cuts, including 220 of our state parks"
sadness,"i burned my tongue! @ workkkkkkkkkkkkkkkkk,"
surprise,did you google it too? or maybe you actually knew the answer lol ps put uo the pics already from last night im getting anxious
worry,"lupo is is a bit far for you methinks, luv. they are an hour out of my way in Providence. I love Providence."
neutral,Site of our first date macri is Deli closed. Lunching at favorite local Greek spot The Trojan Horse instead.
sadness,is soooo hungry right now! Why is it not lunch time!
sadness,At pool in Orlando got new kicks going to seaworld tommrow miss my best friend
happiness,ever been here? the night we didnt meet we ended up here possibly the best pizza this side of Chicago!
sadness,Being bored is always so much more fun with a companion. Missing my bff alreadyyyy!!!!
worry,"Yay, it is friday and boo i am so broke i have no dosh"
relief,"ITV plugging the Special a lot. Have a great night all of you, will miss your tweets when you come back home"
sadness,i made an okay rap mix i couldnt have the stuff i wanted im getting ready to leave
sadness,jus skinned my knee. Wat am i 6!?!?! Hurts lyke hell tho. Its always tha little ones that hurt tha most.
sadness,I am so sad... How come Pooch Hall from The Game has not accepted my friend request on Facebook Yet
love,I just need to go to the bank
happiness,"3 live p2v migrates, 5 vmware vsp exams, and a magento config, a quiet weekend at party central"
happiness,i want more
neutral,~acai emails~yes tons of them..
worry,oh no your sick! i am feeling kinda sick too and i am hating this overcast weather!
worry,why no FF for me?
worry,"Sorry to hear about your dude probs, what is it that is too much?"
worry,Gonna have to have arthroscopy to repair my knee
worry,"yeah stomach bug or something. Fever, etc. Not fun."
sadness,"I woke up an came to the realization that I can put it off as much as I want, but I need 2 drop some friends. Dammit!"
worry,Aniya666 yours was not there
worry,Another interview... Please somebody hire me?! But i am late
worry,"Sigh. My metal friends keep planning stuff on Sunday afternoons, when i am at work. Feeling like i am losing touch with them"
neutral,He he i wish i could go to the gym
surprise,I wish.
sadness,my life is sad..just had reminder go off on my phone to recharge toothbrush!
sadness,Now i am depressed again..ugh!!! HELP!!!
hate,Well its a good thing ''march'' wasnt very long and i didnt like it...cuz its deleted. Ugh
surprise,"Oh, so no male strippers then? LMAO"
worry,the low point: a poor pigeon outside my building is not capable of flying. it is just wandering up and down the sidewalk. so sad
neutral,"weird trigger. You should definitely ask him about them on monday, dude... shitty."
worry,I can not wait that long
sadness,no money no honey! hehe too soon sorry
fun,Sorry only just seen this how strange it seems only to happen from my iPhone perhaps it is a problem with Twitterific
neutral,one last stop in Chicago before going back to Miami
sadness,You are sooo lucky. My fiance is away w/the Marine Corps...haven't even seen him yet!
sadness,not looking forward to driving in this storm.
surprise,"yeah. she is screwed. $3000 in new tires, new turbo, and maint, paid it off, and now she will get almost nothing."
sadness,i do not like being sick when the guidance counsellor is supposed to take me + 35 other kids out of school for bowling &amp; pizza
worry,why did Reel big fish cover edna is goldfish
worry,is putting on her &quot;suit&quot; &amp;dont mean jeans&amp;T&amp;Heading over 2 T-town 2 deal w/ family emergency PLEZ PRAY 4Us BE back by 630P God willing!
surprise,wow their is no pancake mix
sadness,yeah sorry i was busy last night ill try and go next week!
surprise,"Hey, that link did not work for me"
love,Am in the mix on the Galaxy weekend! Loved my Friday show! Sweet! Make the most of this one if your listening
hate,I so hate riding the bus. 1 it is a damn sauna in the summer! 2 Like could it kill the guy a few seats up to shower once a month??
sadness,shit back home in tallcree rez now i cant see my boyfriend
sadness,I just cried whilst watching hollyoaks .. i need a life! lol
worry,Somebody accidentely sleep for 3 hours instead of 2 and now I can not hang out WORK BLOWS! sorry and
neutral,Transition time is over; tonight I work night shift. I woke up at 1330.
worry,my mask is non-existent at the mo Charis did not send me one &amp; I have not been bothered to make one! i am wearing boy clothes!
love,"HOW GENIUS!! He looks good in bret, LOV HIM WHY cancelled concert in france i was ready men"
sadness,I would if I was not working today.
worry,That poor goose.
happiness,"i am getting them this weekend. aw, i really want you to!"
love,"I need to move to NY, SanFran, or Seattle to get worth-a-crap internet speeds"
worry,Head is throbbing from lack of sleep and still have mucho work. Doesn't feel like a Friday
happiness,1 week and 1 one day to go.
relief,Just got back from lunch and feeling more like a nap is in order than work But I will press on!
sadness,"We can miss our babies together, haha. i am dreading taking him to the kennel."
neutral,at work booo....
sadness,What?! You have to be kidding me it is an AZ landmark! This kinda news makes me sad
worry,Woot! lol it is gonna be hard to send this one back
sadness,it is raining where I am. I wish it wasn't.
neutral,nan
neutral,I ate too many kisses.
relief,i am soooooo sleeeeepy!!! the last day o' school was today....sniffle....
worry,i dunno..tipsy gave EVERYTHING in the 1st set and still lost..not sure what mental state he was in but the injury was bad timing
hate,have to return my sideways. fuck meds and bills.
empty,"Aw, that stinks, i am sorry."
worry,less than 1 month and im done with high school... ohh my! my friends
neutral,it is been raining here for 3 days
neutral,im in stats and i am bored and tireed
sadness,whew how did i end up going from mugglespace apps to youtube??? haha its just one of those days i guess. i really hate being ill
sadness,Ready for this saddenning depressing dullful upsetting dreadful weekend.
worry,"ohhh ok. so like, it is more frustrating? I had my hands on a 3g iphone last week but it was upgraded so i could not unlock it"
surprise,"awe, me in work, no BBQ for moi this weekend"
sadness,Doing dishes...i miss my kitchen team
sadness,Darn. No bacon
worry,8 month old African grey parrot sad sale Reptile Forums UK
worry,man i wish i still lived near a drive in perfect movie experience
worry,Sitting in boring ass litterature listening to jack Johnson missing the gf soooooooooooooooooooooooooooooooooooo much.
worry,has a terrible headache. I need relief!
sadness,waaa the octo drive and i can not go for it
worry,"sooo tired, I wish I had time for a nap before work"
worry,Day 7 without shower. No end in sight. There is stuff between my toes.
worry,what happened to winston?
neutral,"I know, but considering i have bought a lot of new yarn recently, I think it is necessary this time."
worry,Missed my massage appointment..... Now Its 2maro I needed it
worry,URGHHHHHHHHHH your makeing me cry
neutral,"I so agree with you we have been married for 7 yrs, and this is our 6th move BLAH!!!"
worry,My closet situation is close to the same. Except it is not closet located near NYC.
sadness,ah shit ... my chest hurts now
fun,"i am thinking of a dawn shot of Carlingford Lough, the sun will be in the right place this time of year. involves an early rise tho"
worry,"Schoool needs to end, Work tonight 4 to 8 hittt me up after &lt;3"
worry,Fuck traffic. Going to be late!
worry,@ work....boyz make me sick..
hate,Hates having broken wrist and has PE next ugh
surprise,I was gonna get off at 230 2day. Just found out i am stayin til 630
neutral,Got a deadline to meet!!! No TGIF for me
sadness,RAIN why must you come &quot;after&quot; I flat iron my hair? I have been rockin my curls for 3 weeks and today you decide to come out. not nice!
empty,Why?
sadness,ii wanna go home for thee weekend but ii have no gas. sukks _!_!!
neutral,Great lunch at baby bulls. Now time for work til 930.
fun,HELP!!! I think is crazy funny and can not give him favrd stars Please help me get him UNBLOCKED from favrd so I can star him
surprise,"Not enough pizza ordered, so I did not get any. And it was Pizza Delight too!"
worry,still hoping for a job... but now i have strep so looks like i wont be looking around places for the next couple of days
love,i think missed me tooo
surprise,Yay! The playdate is back on but my van is transmission is dead
hate,"I BET BLACK PLANET, LOL, I DIDNT HAVE A PROBLEM WITH IT, BUT SHE WAS UGLY."
hate,So bored in chem n im super hungry! Ugh
worry,"My GCSE and A Level work is at least 50x better than my degree work. Oh Uni, what did you do to me?"
sadness,Cancelling my JavaOne
relief,"I saw you stalkerishly from the elevator, but Brookie was eating her moracca ? So we had to go."
boredom,bored. tired got headache
love,this picture made me cry lol
sadness,Spring cleaning for tomorrow. But the park I want to go clean is not accessible by public transportation.
sadness,says misses my cousins so badly!!!
neutral,"Going to clean my room but thats not hard. i keep my room pretty clean really....anyway, i could still be doing better things!!!!"
sadness,You do not reply to none of your fans ... I do not know what trust
empty,are you not well?
relief,Have fun at the show tonight... wish I could be there
neutral,"lol, you can see the sunburnnn its not achurley that bad =| least i dont think it is xD"
relief,"Finally home! Tp tetep, kurang 3BT buat shooting kamis nih! Huaaaa, stress gila! Syapa lg ya?"
empty,nan
worry,I could but will not get here in time before my Vegas trip So i will still look like a noob there~
love,heart goes out to you
enthusiasm,Appreciation lunch at work. Good food! But sucks being here on my day off lol
worry,"To make it worse, its my friends party tonight, and i am stuck here. I have not seen her for months"
surprise,"burning cd is,,,,,,,,, fucking outa blank disc is"
hate,"GAWD, i am so tired still! I have to move out of here into my new place by 5:30 PM, because I work. So stressed! #FB"
neutral,I can not I have a full day of activities lol
love,hey sweetie. Cnt go fri but thnks so much
love,Loving the sunshine! Wish poor Richie would feel better
sadness,awwh im sorry it will not be much longer
neutral,The video is `private I cant see it
worry,i didnt post my new song today i will try and post tomorrow!
neutral,yea as an afterthought
worry,"just got back from the pool, need to ice the knee"
