sentiment,text,other,tweet_text
guilt,"I behaved in a nasty manner towards a friend, I said things which
I could have said in a more friendly way. After that I felt
guilty.",,"i behaved in a nasty manner towards a friend, i said things whichi could have said in a more friendly way. after that i feltguilty."
joy,"A friend of mine often had difficulties with her parents. Once
she had a child she had a better relationship with them.",,a friend of mine often had difficulties with her parents. onceshe had a child she had a better relationship with them.
fear,"Once our school class went skiing. On a steep slope a boy
standing behind me lost his balance, fell down and drew me with
him. I slided down the whole slope. At about 1 m distance from a
tree I could stop.",,"once our school class went skiing. on a steep slope a boystanding behind me lost his balance, fell down and drew me withhim. i slided down the whole slope. at about 1 m distance from atree i could stop."
anger,"It happened in a tram: some older people started to grumble about
the young people just because I had not immediately left my seat
to them.",,it happened in a tram some older people started to grumble aboutthe young people just because i had not immediately left my seatto them.
sadness,"When I was younger I was very good in apparatus gymnastics. I
always won in competitions, but once I was only at the fourth
place.",,"when i was younger i was very good in apparatus gymnastics. ialways won in competitions, but once i was only at the fourthplace."
disgust,A friend was assaulted by a young man on her way home.,,a friend was assaulted by a young man on her way home.
shame,Some men were talking about me and my sister.,,some men were talking about me and my sister.
guilt,"During my holidays I had a boyfriend who turned away from me
outwardly. Therefore I danced with another man and raised certain
hopes in him. After a while I had to explain to him the
circumstances",,during my holidays i had a boyfriend who turned away from meoutwardly. therefore i danced with another man and raised certainhopes in him. after a while i had to explain to him thecircumstances
joy,"I received a letter and a Christmas present from a person I had
not seen for two years.",,i received a letter and a christmas present from a person i hadnot seen for two years.
fear,"I was at home alone and my mother had asked me to heat the house.
I put too much fuel into the stove. It began to glow and there
was a noise in the whole house as if it was going to explode.",,i was at home alone and my mother had asked me to heat the house.i put too much fuel into the stove. it began to glow and therewas a noise in the whole house as if it was going to explode.
anger,"At the end of my holiday job I got less money than was due to me
and nobody mentioned anything about that.",,at the end of my holiday job i got less money than was due to meand nobody mentioned anything about that.
sadness,"My little cat which I had raised all by myself, hanged itself when
playing in the garden.",,"my little cat which i had raised all by myself, hanged itself whenplaying in the garden."
disgust,"At school a classmate who was a very good pupil had to help
another boy who performed less well. He told him on purpose the
wrong things so that he had to repeat a year.",,at school a classmate who was a very good pupil had to helpanother boy who performed less well. he told him on purpose thewrong things so that he had to repeat a year.
shame,"When I was a child I played my mother a nasty trick to make her
feel hurt.",,when i was a child i played my mother a nasty trick to make herfeel hurt.
guilt,"I had promised my friend to take her to an important appontment
but I was late. So she missed the opportunity to get a wellpayed
holiday job.",,i had promised my friend to take her to an important appontmentbut i was late. so she missed the opportunity to get a wellpayedholiday job.
joy,"I have a boyfriend and I am very fond of him. When we had our
""11-months jubilee"", I had forgotten it. But he gave me a red
rose.",,"i have a boyfriend and i am very fond of him. when we had our""11-months jubilee"", i had forgotten it. but he gave me a redrose."
fear,"When I was a child I was afraid of big dogs. One day when I came
home a big dog was laying in front of our door. I was so
frightened that I did not dare to enter the door and I waited
until somebody passed by.",,when i was a child i was afraid of big dogs. one day when i camehome a big dog was laying in front of our door. i was sofrightened that i did not dare to enter the door and i waiteduntil somebody passed by.
anger,"I share my small flat with my friend. On her birthday we could
not see each other until evening because we had to stay at the
University all day. In the evening I left a lecture before it
finished to be able to buy flowers for her. When I was at home
she called me to tell me that she would stay the night with her
boyfriend.",,i share my small flat with my friend. on her birthday we couldnot see each other until evening because we had to stay at theuniversity all day. in the evening i left a lecture before itfinished to be able to buy flowers for her. when i was at homeshe called me to tell me that she would stay the night with herboyfriend.
sadness,"When I was a child I had a grass-parakeet I liked very much. His
legs were crippled so that he could not move very fast. Once I
came into the room, did not notice him and stepped on him. A few
days later he died.",,"when i was a child i had a grass-parakeet i liked very much. hislegs were crippled so that he could not move very fast. once icame into the room, did not notice him and stepped on him. a fewdays later he died."
disgust,"When I was younger I often saw my father come home drunk (he had
big problems at that time). Once he woke me up in the middle of
the night and shouted at me.",,when i was younger i often saw my father come home drunk he hadbig problems at that time confusion . once he woke me up in the middle ofthe night and shouted at me.
shame,"At school I was bad in mathematics. Although my teacher had
admonished me to do my homework, one day I had forgotten to do
it. When my teacher noticed it, I blushed and was ashamed to be
rebuked in front of the other pupils.
",,"at school i was bad in mathematics. although my teacher hadadmonished me to do my homework, one day i had forgotten to doit. when my teacher noticed it, i blushed and was ashamed to berebuked in front of the other pupils."
guilt,"When I was a child I often quarrelled with my younger sister.
Once I became so angry that I slapped her in the face. She cried
and shouted so that my mother came in and scolded me.",,when i was a child i often quarrelled with my younger sister.once i became so angry that i slapped her in the face. she criedand shouted so that my mother came in and scolded me.
joy,"After a weekend at a seminar I saw my husband again. I hurried
home hoping he would be there. We embraced - I enjoyed feeling
his body.",,after a weekend at a seminar i saw my husband again. i hurriedhome hoping he would be there. we embraced i enjoyed feelinghis body.
fear,"One evening I stayed at home all alone. As we lived on the ground
floor, I was often afraid of burglers.",,"one evening i stayed at home all alone. as we lived on the groundfloor, i was often afraid of burglers."
anger,"One day, when riding on a bicycle path, a car coming from the
opposite direction forced me to get off my bike although I had
the priority.",,"one day, when riding on a bicycle path, a car coming from theopposite direction forced me to get off my bike although i hadthe priority."
sadness,"My father died unexpectedly at the age of 53 years. He certainly
would have liked to live longer. I was also said because I was
confronted with the fact that I would die one day too.",,my father died unexpectedly at the age of 53 years. he certainlywould have liked to live longer. i was also said because i wasconfronted with the fact that i would die one day too.
disgust,"One day, when I was twelve years old, my brother took some slimy
substance swimming on the surface of a pot of vinegar made of
cider and threatened to throw it at me.",,"one day, when i was twelve years old, my brother took some slimysubstance swimming on the surface of a pot of vinegar made ofcider and threatened to throw it at me."
shame,"When I was ten years old a classmate laughed at me because I had
told him that my father had retired.",,when i was ten years old a classmate laughed at me because i hadtold him that my father had retired.
guilt,"I felt guilty because I had not accomplished a thing as well as I
had wanted to.",,i felt guilty because i had not accomplished a thing as well as ihad wanted to.
joy,A party with friends on New Year's Eve.,,a party with friends on new year is eve.
fear,"When I was hitch-hiking and I went with a man who drived like a
madman.",,when i was hitch-hiking and i went with a man who drived like amadman.
anger,"I was in ""Hainburg"" in December and I was angry about the
politicians and the police.",,"i was in ""hainburg"" in december and i was angry about thepoliticians and the police."
sadness,"I met again a very good friend after a year and realized that
there had grown a certain distance between us.",,i met again a very good friend after a year and realized thatthere had grown a certain distance between us.
disgust,"When I listened to a conversation of friends talking about the
power of money.",,when i listened to a conversation of friends talking about thepower of money.
sadness,When my grandmother died - at her funeral.,,when my grandmother died at her funeral.
disgust,"I read about a monk who had been murdered and put into a barrel
which was filled with blood of pigs.",,i read about a monk who had been murdered and put into a barrelwhich was filled with blood of pigs.
shame,"I went for a walk with a very close friend; we were talking about
our problems, I told her lies.",,"i went for a walk with a very close friend; we were talking aboutour problems, i told her lies."
guilt,"I had to tell a collegue the time for an appointment with another
collegue. I told her the wrong time - it was obviously my fault.",,i had to tell a collegue the time for an appointment with anothercollegue. i told her the wrong time it was obviously my fault.
joy,"I went to buy a bicycle with my father. When I wanted to pay, my
father took his purse and payed.",,"i went to buy a bicycle with my father. when i wanted to pay, myfather took his purse and payed."
fear,"My mother had fallen down from a ladder when she had been
gathering cherries. Her back was hurt. Just when I arrived, I saw
people of the life-saving service giving her medical care.",,"my mother had fallen down from a ladder when she had beengathering cherries. her back was hurt. just when i arrived, i sawpeople of the life-saving service giving her medical care."
anger,"I was waiting behind a car which was going to leave the parking
place, because I wanted to park my car there. Because of uncoming
traffic I had to wait for a short time - another driver placed
his car on the place.",,"i was waiting behind a car which was going to leave the parkingplace, because i wanted to park my car there. because of uncomingtraffic i had to wait for a short time another driver placedhis car on the place."
sadness,My partner left me after we had been together for a long time.,,my partner left me after we had been together for a long time.
disgust,"At a discussion a friend took a ""faschistic view"", what I had not
expected.",,"at a discussion a friend took a ""faschistic view"", what i had notexpected."
shame,"At a weekend's seminar my trousers suddenly burst, therefore I was
prevented from participating in several activities.",,"at a weekend is seminar my trousers suddenly burst, therefore i wasprevented from participating in several activities."
guilt,"When I was driving my motorbike I went into a bend incautiously
and fell down. I was slightly hurt, the motorbike was slightly
damaged.",,"when i was driving my motorbike i went into a bend incautiouslyand fell down. i was slightly hurt, the motorbike was slightlydamaged."
joy,"Before Christmas I got to know a girl but our relationshop could
not consolidate before the holiday. Therefore it was a big
surprise to get a carefully hand-made present from her. - Our
relationship grew closer.",,before christmas i got to know a girl but our relationshop couldnot consolidate before the holiday. therefore it was a bigsurprise to get a carefully hand-made present from her. ourrelationship grew closer.
fear,"When I was a child, I fell into a cellar (when playing) and could
be freed only with big difficulties.",,"when i was a child, i fell into a cellar when playing confusion and couldbe freed only with big difficulties."
anger,"I was angry about several drivers who showed an aggressive and
dangerous driving habit.",,i was angry about several drivers who showed an aggressive anddangerous driving habit.
sadness,"When my grandmother died. I had a very deep relation to her (I
lived with her for several years).",,when my grandmother died. i had a very deep relation to her ilived with her for several years confusion .
disgust,"Some time ago a girl tried to make me up without any action of my
part. She used all possible means. Although I behaved refusingly
she did not give up for a longer time.",,some time ago a girl tried to make me up without any action of mypart. she used all possible means. although i behaved refusinglyshe did not give up for a longer time.
shame,"When I went to the sauna for the first time and there were men
and women.",,when i went to the sauna for the first time and there were menand women.
guilt,"When I was parking my car I was not cautious and bumped into
another car. I caused considerable damage. The driver of the
other car was very angry and I let him insult me because I felt
guilty.",,when i was parking my car i was not cautious and bumped intoanother car. i caused considerable damage. the driver of theother car was very angry and i let him insult me because i feltguilty.
joy,"A person whom I had not seen for a long time called me and
invited me for a party.",,a person whom i had not seen for a long time called me andinvited me for a party.
fear,"When I was walking on the street, a group of drunk, bawling young
people approached.",,"when i was walking on the street, a group of drunk, bawling youngpeople approached."
anger,"When I was house-hunting: Another person got a flat that I would
have liked, too, because he heaped a floot of words on the
letter.",,"when i was house-hunting another person got a flat that i wouldhave liked, too, because he heaped a floot of words on theletter."
sadness,When my grandmother died.,,when my grandmother died.
guilt,"When I shoplifted a pair of earrings from Coles and my Mum caught
me with them in my bag.",,when i shoplifted a pair of earrings from coles and my mum caughtme with them in my bag.
joy,"When my mother was tremendous on the phone and we talked for
hours. She was in a good mood.",,when my mother was tremendous on the phone and we talked forhours. she was in a good mood.
fear,"When I saw a good male friend unexpectedly after a year, as I've
just returned from overseas. I was feeling tired, looking a mess,
and nervous.",,"when i saw a good male friend unexpectedly after a year, as i havejust returned from overseas. i was feeling tired, looking a mess,and nervous."
anger,"When I wanted to talk to someone I liked and whom I have been
told likes me (by his brother and even by himself) however he
avoids any confrontation, and is vague.",,"when i wanted to talk to someone i liked and whom i have beentold likes me by his brother and even by himself confusion however heavoids any confrontation, and is vague."
sadness,"After having left the company of someone who gave me a lot of
support and made me laugh, found myself alone for days on end.",,"after having left the company of someone who gave me a lot ofsupport and made me laugh, found myself alone for days on end."
disgust,"When a boy had continued to use foul language and swearing in
front of a group of my friends.",,when a boy had continued to use foul language and swearing infront of a group of my friends.
shame,"When I was about seven or eight I was caught having stolen a
doll's dress from my next-door neighbour.",,when i was about seven or eight i was caught having stolen adoll is dress from my next-door neighbour.
guilt,"Feeling guilt after greed, buying chocolate and pigging out to
the point of feeling sick, especially as I am fat.",,"feeling guilt after greed, buying chocolate and pigging out tothe point of feeling sick, especially as i am fat."
joy,When planning to marry.,,when planning to marry.
fear,"No really strong such emotion. Just falling off to sleep when I
caught sight of a 5 cm diameter spider crawling onto the pillow
beside me.",,no really strong such emotion. just falling off to sleep when icaught sight of a 5 cm diameter spider crawling onto the pillowbeside me.
anger,"My feelings towards would-be in-laws for their participation in
recent broken relationship.",,my feelings towards would-be in-laws for their participation inrecent broken relationship.
sadness,"Recent break-up of seriors long-term relationship, helped along
by would-be  in-laws.",,"recent break-up of seriors long-term relationship, helped alongby would-be in-laws."
disgust,"No very strong such emotion. Treatment of my sister by her
dancing instructor - he is a ""user"", i.e., takes advantage of her
good nature.",,"no very strong such emotion. treatment of my sister by herdancing instructor he is a ""user"", i.e., takes advantage of hergood nature."
shame,"After failing a second attempt at Med 4, following a number of
difficult personal circumstances.",,"after failing a second attempt at med 4, following a number ofdifficult personal circumstances."
guilt,"Failure to complete medical course as a result of failing fourth
year twice.",,failure to complete medical course as a result of failing fourthyear twice.
joy,"When Wayne and Sue (close friends) were announced our guardians
at ther wedding.",,when wayne and sue close friends confusion were announced our guardiansat ther wedding.
fear,"Car accident nearly occurred between us and drunk driver coming
in opposite direction it missed us by approx 1 m and collided
(after rolling twice midair) into nearby scrub.",,car accident nearly occurred between us and drunk driver comingin opposite direction it missed us by approx 1 m and collidedafter rolling twice midair confusion into nearby scrub.
anger,When boyfriend lied to me.,,when boyfriend lied to me.
sadness,When my boyfriend took me to his father's grave.,,when my boyfriend took me to his father is grave.
disgust,"On boat trip - saw mother giving young child (aprox 6-7 years)
cigarettes.",,on boat trip saw mother giving young child aprox 6-7 years confusion cigarettes.
shame,When harassed by this boy - it was sexual (refer to GUILT).,,when harassed by this boy it was sexual refer to guilt confusion .
guilt,"When in grade 3, late home from school every day for weeks
because of harassment from a grade 7 boy I lied to mother about
why I was home late.",,"when in grade 3, late home from school every day for weeksbecause of harassment from a grade 7 boy i lied to mother aboutwhy i was home late."
joy,Getting a part-time job.,,getting a part-time job.
fear,"Small car accident. Black ice on the road - cars in front of us
started zig-zagging and so did we. Car in front did a 180¦ turn we
followed and ended up in a gully.",,small car accident. black ice on the road cars in front of usstarted zig-zagging and so did we. car in front did a 180¦ turn wefollowed and ended up in a gully.
anger,People hunting animals.,,people hunting animals.
sadness,"When my grandfather was sick, and died I felt more sad, though,
when he was sick.",,"when my grandfather was sick, and died i felt more sad, though,when he was sick."
disgust,People spitting in railway stations.,,people spitting in railway stations.
shame,Falling over.,,falling over.
guilt,"Eating too much I felt guilty afterwards because I knew I
shouldn't have overeaten as I'm putting on too much weight.",,eating too much i felt guilty afterwards because i knew ishouldn't have overeaten as i am putting on too much weight.
joy,"When my last year's second semester results came through - I was
ecstatic.",,when my last year is second semester results came through i wasecstatic.
fear,"I was sleeping in my room but woke in the middle of the night to
think I could hear noises and see shadows moving. I felt that
someone was in the house.",,i was sleeping in my room but woke in the middle of the night tothink i could hear noises and see shadows moving. i felt thatsomeone was in the house.
anger,"At school, a couple of years ago, a so-called acquaintance told lies
about me to a teacher I was told about it by friends who overheard
the conversation.",,"at school, a couple of years ago, a so-called acquaintance told liesabout me to a teacher i was told about it by friends who overheardthe conversation."
sadness,"My grandfather died. He lived almost as a recluse not caring for
himself as well as he should - Dad and we all helped as much as
we could, but it didn't save him from himself. It was an
unexpected death. His second de facto wife was lucky she wasn't
jailed.",,"my grandfather died. he lived almost as a recluse not caring forhimself as well as he should dad and we all helped as much aswe could, but it did not save him from himself. it was anunexpected death. his second de facto wife was lucky she wasn'tjailed."
sadness,"In my penultimate job I was responsible of a sections with
several employers, after several years of dedication I was
dismissed by a new chef, saying that I was incompetent.",,"in my penultimate job i was responsible of a sections withseveral employers, after several years of dedication i wasdismissed by a new chef, saying that i was incompetent."
disgust,"I assisted to a scene where the police attacked a person that
didn't have his documents. The savagery was too much, and the
attacked person bleeded to much.",,"i assisted to a scene where the police attacked a person thatdidn't have his documents. the savagery was too much, and theattacked person bleeded to much."
shame,In a party of friends I got completely drunk.,,in a party of friends i got completely drunk.
guilt,"Once in my homes yard, I was plaing football with my cousin and
in a certain quick the ball went on uncontrolled putting down a
bird-cage, killing it.",,"once in my homes yard, i was plaing football with my cousin andin a certain quick the ball went on uncontrolled putting down abird-cage, killing it."
joy,"When I get something that seemed very hard like getting a job, a
boyfriend, etc. A specific sutuations, was when I started to date
a boy whom I liked for a long time.",,"when i get something that seemed very hard like getting a job, aboyfriend, etc. a specific sutuations, was when i started to datea boy whom i liked for a long time."
fear,When I had to assume a position which I didn't expect.,,when i had to assume a position which i did not expect.
anger,"When I was dismissed unjustly from the firm where I worked,
because there where persons that didn't have problems, and
wouldn't miss in the jobs they occupied if they were dismissed.",,"when i was dismissed unjustly from the firm where i worked,because there where persons that did not have problems, andwouldn't miss in the jobs they occupied if they were dismissed."
sadness,"I felt very sad when I had to give up something that by right was
mine and although I didn't get it, a kind of suvenir that people
don't give you the right to have.",,"i felt very sad when i had to give up something that by right wasmine and although i did not get it, a kind of suvenir that peopledon't give you the right to have."
disgust,"The acts of brutal violence in generally disgusts me. Fights,
phisical aggrssion, etc.",,"the acts of brutal violence in generally disgusts me. fights,phisical aggrssion, etc."
shame,"I felt ashamed when in a certain occasion I had to read a text
and didn't stop stuttering.",,i felt ashamed when in a certain occasion i had to read a textand did not stop stuttering.
guilt,When I was reproved eighth grade of high school.,,when i was reproved eighth grade of high school.
anger,"When I talked with a teacher yesterday who, to say the least, was
rude and unwise and had irrelevant opinions about a friend.",,"when i talked with a teacher yesterday who, to say the least, wasrude and unwise and had irrelevant opinions about a friend."
sadness,The loss of the woman who loved me most till today.,,the loss of the woman who loved me most till today.
disgust,"In a sexual experience with an unknown woman where after the
sexual act I only could go away without looking backwards.",,in a sexual experience with an unknown woman where after thesexual act i only could go away without looking backwards.
shame,"When I wanted to kiss a friend and didn't succeed, I felt shame.",,"when i wanted to kiss a friend and did not succeed, i felt shame."
guilt,"On a telephone talk where I was agressive and stupid without the
least, reason or better motive.",,"on a telephone talk where i was agressive and stupid without theleast, reason or better motive."
joy,"When I succeed in writing something I felt and doing it I felt
well and very happy for being able to express to myself something
that was suffocating me.",,when i succeed in writing something i felt and doing it i feltwell and very happy for being able to express to myself somethingthat was suffocating me.
fear,When I crashed my car.,,when i crashed my car.
anger,"When in a difficult moment I couldn't express myself correctly
and my thought came out with distortions bringing about highly
negative and distorted results.",,when in a difficult moment i could not express myself correctlyand my thought came out with distortions bringing about highlynegative and distorted results.
sadness,"When I heard about the death of somebody I liked very much and I
was not present either to see the person or to try to share my
emotions with other friends.",,when i heard about the death of somebody i liked very much and iwas not present either to see the person or to try to share myemotions with other friends.
disgust,"When I saw a woman subjugated by money and not being able to hide
how she hated herself for not having the will power to get out of
such a situation because it was convenient, according to what she
told me.",,"when i saw a woman subjugated by money and not being able to hidehow she hated herself for not having the will power to get out ofsuch a situation because it was convenient, according to what shetold me."
shame,"When somebody suddenly said something (about me) at a wrong
moment and I didn't agree (at that exact moment I was needing an
extremely positive word).",,when somebody suddenly said something about me confusion at a wrongmoment and i did not agree at that exact moment i was needing anextremely positive word confusion .
shame,When my mother surprised me while masturbating.,,when my mother surprised me while masturbating.
guilt,"I forgot to water the flowers in our flat and was rebuked by my
friends who share the flat with me.",,i forgot to water the flowers in our flat and was rebuked by myfriends who share the flat with me.
joy,"After my final examination at school I was glad that the
examination was over and that I had passed it.",,after my final examination at school i was glad that theexamination was over and that i had passed it.
fear,"When I was a child, I had a nightmare. At that time, I was not
yet able to tell anybody about it, so I was very frightened. I
could not explain myself all that and I had to deal with it by
myself.",,"when i was a child, i had a nightmare. at that time, i was notyet able to tell anybody about it, so i was very frightened. icould not explain myself all that and i had to deal with it bymyself."
anger,"I was angry with a person who behaved terribly at a ball
offending her relatives.",,i was angry with a person who behaved terribly at a balloffending her relatives.
sadness,"When my grandfather died. When I heard about his death, I had a
bad feeling in my stomach and I felt as if I had lost something
very precious.",,"when my grandfather died. when i heard about his death, i had abad feeling in my stomach and i felt as if i had lost somethingvery precious."
disgust,My brother caught a spider and let his frog eat it.,,my brother caught a spider and let his frog eat it.
shame,"Once I spoke without thinking very much - it was quite a
nonsense.",,once i spoke without thinking very much it was quite anonsense.
guilt,"I was not sure whether I should help an old woman going down a
flight of stairs. I just watched her and saw how difficult it was
for her to do it.",,i was not sure whether i should help an old woman going down aflight of stairs. i just watched her and saw how difficult it wasfor her to do it.
joy,"For about one year I had a rather bad relation with my father.
Last Christmas Eve he invited me to stay withhim and I was very
glad about it. It was a fine evening.",,for about one year i had a rather bad relation with my father.last christmas eve he invited me to stay withhim and i was veryglad about it. it was a fine evening.
fear,"I live outside Graz - so I have to go by bus. One day I went home
from the bus stop alone. It was dark, I had to go through a
forest and there was a dark figure behind me. I was very
frightened.",,"i live outside graz so i have to go by bus. one day i went homefrom the bus stop alone. it was dark, i had to go through aforest and there was a dark figure behind me. i was veryfrightened."
anger,"My sister had promised to help me to do a translation from
English into German. But the day I needed her she told me that
she was busy - I was very angry.",,my sister had promised to help me to do a translation fromenglish into german. but the day i needed her she told me thatshe was busy i was very angry.
sadness,"Several years ago my mother died. She had been ill for a long
time, but nevertheless her death came unexpectedly. I did not and
I still do not want to believe that it is true.",,"several years ago my mother died. she had been ill for a longtime, but nevertheless her death came unexpectedly. i did not andi still do not want to believe that it is true."
disgust,"I have a horror of spiders and snakes. On a walk through the wood
I saw the body of a slow-worm (without the head).",,i have a horror of spiders and snakes. on a walk through the woodi saw the body of a slow-worm without the head confusion .
shame,"I came home from a party rather drunk. I said things I would
never have said normally. Next morning I was terribly ashamed
about what I had said.",,i came home from a party rather drunk. i said things i wouldnever have said normally. next morning i was terribly ashamedabout what i had said.
guilt,"An accident happened to my little cousin because I had not taken
enough care of her. She fell on the floor and her hands were
hurt.",,an accident happened to my little cousin because i had not takenenough care of her. she fell on the floor and her hands werehurt.
joy,"I had a little cat which was very sick. As I liked it very much I
went to a veterinary with it. He told me how to tend it and it
really recovered its health. Everybody said that I had saved its
life.",,i had a little cat which was very sick. as i liked it very much iwent to a veterinary with it. he told me how to tend it and itreally recovered its health. everybody said that i had saved itslife.
fear,"When I was a child, I had a terrible nightmare with St. Nicholas'
Devil Servant. I asked my mother if he really existed and she
said yes. The following nights I could not sleep and a
light had to be left turned on.",,"when i was a child, i had a terrible nightmare with st. nicholas'devil servant. i asked my mother if he really existed and shesaid yes. the following nights i could not sleep and alight had to be left turned on."
anger,"As I usually do not start learning until a short time before an
examination,, I once made up my mind to try to work for a longer
time. But once again I did not do it - and got a bad mark.",,"as i usually do not start learning until a short time before anexamination,, i once made up my mind to try to work for a longertime. but once again i did not do it and got a bad mark."
sadness,"A friend told me about his cousin who is my girlfriend. He said
she had treated him in a mean and nasty way. I was surprised
because in front of other people she had always treated him in a
friendly way. I am very sad about it.",,a friend told me about his cousin who is my girlfriend. he saidshe had treated him in a mean and nasty way. i was surprisedbecause in front of other people she had always treated him in afriendly way. i am very sad about it.
disgust,"I went out with my sister, her boyfriend and his friend. I did
not like this young man. But suddenly he overcame me and kissed
me. He was very strong so that I could not defend myself.",,"i went out with my sister, her boyfriend and his friend. i didnot like this young man. but suddenly he overcame me and kissedme. he was very strong so that i could not defend myself."
shame,"During the oral part of my final examination I made a mistake in
speaking so that all the teachers laughed at me.",,during the oral part of my final examination i made a mistake inspeaking so that all the teachers laughed at me.
guilt,"There was a time when I did not get on well with my sister. I
always grumbled at her and said bad things about her to my
mother. So my mother always scolded her.",,there was a time when i did not get on well with my sister. ialways grumbled at her and said bad things about her to mymother. so my mother always scolded her.
joy,When I passed my final examination at school.,,when i passed my final examination at school.
fear,"When I was on a cave excursion with friends, I suddenly lost them
and was afraid of losing my way in the cave.",,"when i was on a cave excursion with friends, i suddenly lost themand was afraid of losing my way in the cave."
anger,When I felt being treated unjustly by a teacher.,,when i felt being treated unjustly by a teacher.
sadness,"When my grandmother died; I had a stronger relation to her than
to my mother.",,when my grandmother died; i had a stronger relation to her thanto my mother.
disgust,When I was molested by an old drunk man.,,when i was molested by an old drunk man.
shame,When I had a Latin examination in school.,,when i had a latin examination in school.
guilt,When I had drunk too much and nearly got an alcohol poisoning.,,when i had drunk too much and nearly got an alcohol poisoning.
joy,"When I met my girlfriend again in another town after a long
separation.",,when i met my girlfriend again in another town after a longseparation.
fear,"When I went home alone early in the morning, I had to go through
a wood.",,"when i went home alone early in the morning, i had to go througha wood."
anger,"A friend was unpunctual, we wanted to prepare ourselves for an
examination.",,"a friend was unpunctual, we wanted to prepare ourselves for anexamination."
sadness,When my grandparents moved to another part of the town.,,when my grandparents moved to another part of the town.
disgust,"At the butcher's I saw an animal which had just been slaughtered;
blood was dripping on the floor.",,at the butcher is i saw an animal which had just been slaughtered;blood was dripping on the floor.
shame,"In school I was very bad in running long distances and my
class-mates laughed at me for this reason.",,in school i was very bad in running long distances and myclass-mates laughed at me for this reason.
guilt,"I had to take care of my little brother. When I met a friend I
did not pay attention to him for a certain time and he was hurt
while he was playing.",,i had to take care of my little brother. when i met a friend idid not pay attention to him for a certain time and he was hurtwhile he was playing.
joy,"On my birthday, an old friend of mine sent me a card. I had not
met him for a year and I was very glad that he had thought of me.",,"on my birthday, an old friend of mine sent me a card. i had notmet him for a year and i was very glad that he had thought of me."
fear,"Once I spent a night with a friend at the secondary school. We
told each other horror stories and suddenly we heard uncanny
noises. I was terribly frightened.",,once i spent a night with a friend at the secondary school. wetold each other horror stories and suddenly we heard uncannynoises. i was terribly frightened.
anger,"When we still attended school, my brother and I usually went to
see our aunt and to show her our term's report. She rewarded us
with money. Although my reports were as good as my brother's, he
got more money.",,"when we still attended school, my brother and i usually went tosee our aunt and to show her our term is report. she rewarded uswith money. although my reports were as good as my brother is, hegot more money."
sadness,"My friend was pregnant, but lost her child during the second
month. I went to see her at hospital - she was crying. I felt
very sorry for her.",,"my friend was pregnant, but lost her child during the secondmonth. i went to see her at hospital she was crying. i feltvery sorry for her."
disgust,"When I attended school, our class visited an institution for
mentally and physically handicapped persons. Although I tried to
control my feelings, I was disgusted.",,"when i attended school, our class visited an institution formentally and physically handicapped persons. although i tried tocontrol my feelings, i was disgusted."
shame,"After a party I spent the night with a friend. We both were
drunk, the morning was disillusioning. A friend was me leaving
the room and I felt shabby and immoral.",,"after a party i spent the night with a friend. we both weredrunk, the morning was disillusioning. a friend was me leavingthe room and i felt shabby and immoral."
guilt,"I had to take care of a neighbour's child. I did not look after
it all the time and the child fell down and was hurt. I felt
guilty.",,i had to take care of a neighbour is child. i did not look afterit all the time and the child fell down and was hurt. i feltguilty.
joy,"A very good friend of mine had been away for three months. When
we met again, we ran up to each other and embraced.",,"a very good friend of mine had been away for three months. whenwe met again, we ran up to each other and embraced."
fear,"One evening my father told me to go into the cellar and get him a
beer. I was terribly frightened at the idea of a man sitting in
the cellar and assaulting me. For my defence I took an empty
bottle with me.",,one evening my father told me to go into the cellar and get him abeer. i was terribly frightened at the idea of a man sitting inthe cellar and assaulting me. for my defence i took an emptybottle with me.
anger,"I had stolen a bottle of rum from a person who knows me well. He
threatened to call the police if I did not pay 500 Shillings.",,i had stolen a bottle of rum from a person who knows me well. hethreatened to call the police if i did not pay 500 shillings.
sadness,"When my uncle died I saw a funeral for the first time. All people
stood around the open grave and cried.",,when my uncle died i saw a funeral for the first time. all peoplestood around the open grave and cried.
disgust,"At a party I met a girl who drew me to her, told me some nonsense
and always wanted to kiss me.",,"at a party i met a girl who drew me to her, told me some nonsenseand always wanted to kiss me."
shame,"I put my head into the pullover of a girl to see her breasts. The
girl looked at me so that I felt ashamed.",,i put my head into the pullover of a girl to see her breasts. thegirl looked at me so that i felt ashamed.
guilt,"My uncle had promised to buy me a bicycle. As time went by and I
had not received it yet, I asked my father to buy it for me.
Later I heard that my uncle had wanted to offer me the bicycle on
my birthday two weeks later.",,"my uncle had promised to buy me a bicycle. as time went by and ihad not received it yet, i asked my father to buy it for me.later i heard that my uncle had wanted to offer me the bicycle onmy birthday two weeks later."
joy,"Several days after my final examination at school, I was sitting
in an airplane on my way to Greece. I enjoyed that moment very
much.",,"several days after my final examination at school, i was sittingin an airplane on my way to greece. i enjoyed that moment verymuch."
fear,"One night I was lying in my bed awake but I had my eyes closed. I
saw figures with terrible faces and black frocks bending over me
and touching me. I opened my eyes but I could still see them. I
had the feeling that somebody was in the room. It was terrible.
Only when I turned on the light I was able to go to sleep.",,one night i was lying in my bed awake but i had my eyes closed. isaw figures with terrible faces and black frocks bending over meand touching me. i opened my eyes but i could still see them. ihad the feeling that somebody was in the room. it was terrible.only when i turned on the light i was able to go to sleep.
