ori_sentiment,text,other,tweet_text
sadness,"I had to leave my girlfriend for 4 weeks because of my studies.
This happens frequently. The last 24 hours before my departure
are always very depressing.",,I had to leave my girlfriend for 4 weeks because of my studies.This happens frequently. The last 24 hours before my departureare always very depressing.
disgust,"When I stayed in the house of friends, I washed my face and
wanted to dry it with a towel. This towel seemed to have been
used over a long time already. It smelled indefinably awful.",,"When I stayed in the house of friends, I washed my face andwanted to dry it with a towel. This towel seemed to have beenused over a long time already. It smelled indefinably awful."
shame,"A friend of mine has not very much money. Therefore, once I
stayed with him and his girlfriend, I bought some meat, but nobody
wanted to go and prepare it for dinner. My friend said ""I thought
you wanted to invite us for dinner"". ""Of course"", I said, but I
thought by myself that it must have been enough that I had bought
it.",,"A friend of mine has not very much money. Therefore, once Istayed with him and his girlfriend, I bought some meat, but nobodywanted to go and prepare it for dinner. My friend said ""I thoughtyou wanted to invite us for dinner"". ""Of course"", I said, but Ithought by myself that it must have been enough that I had boughtit."
guilt,"It happened when I still went to school: I got closer to a girl
but I considered it only as an ""affair"". Only much later I realized
how painful this must have been for the girl.",,"It happened when I still went to school: I got closer to a girlbut I considered it only as an ""affair"". Only much later I realizedhow painful this must have been for the girl."
joy,"When I was informed that a short story I had written had been
accepted for publication.",,When I was informed that a short story I had written had beenaccepted for publication.
fear,"Some friends and I were crossing a street when one of my friends
was seized by a car and thrown aside. I had seen the car coming
in our direction but I did not have enough time to react and
prevent the accident.",,Some friends and I were crossing a street when one of my friendswas seized by a car and thrown aside. I had seen the car comingin our direction but I did not have enough time to react andprevent the accident.
anger,"I wanted to clear up a misunderstanding with a friend that I had
caused. A third person meddled in our conversation, turned my
efforts to ridicule so that I did not succeed in what I had
intended.",,"I wanted to clear up a misunderstanding with a friend that I hadcaused. A third person meddled in our conversation, turned myefforts to ridicule so that I did not succeed in what I hadintended."
sadness,Death of my grandmother.,,Death of my grandmother.
disgust,"In school I had difficulties mith mathematics. When I had to work
for an examination, I really felt disgusted.",,"In school I had difficulties mith mathematics. When I had to workfor an examination, I really felt disgusted."
shame,"I played in a stage play. Suddenly, in front of 200 people, I
could not remember the words I had to say.",,"I played in a stage play. Suddenly, in front of 200 people, Icould not remember the words I had to say."
guilt,"One night I did not come home without telling my parents and I
did not want to speak about it afterwards. My mother cried. I had
a bad conscience and felt guilty.",,One night I did not come home without telling my parents and Idid not want to speak about it afterwards. My mother cried. I hada bad conscience and felt guilty.
joy,After 3 weeks I saw my girlfriend again.,,After 3 weeks I saw my girlfriend again.
fear,"One evening, in the tramway, I was afraid of two drunk men
molesting my girlfriend and me.",,"One evening, in the tramway, I was afraid of two drunk menmolesting my girlfriend and me."
anger,"I went singing with a group of young people on January 6th (The
three Magi), a local custom called ""star singing"". One of the girls, my
girlfriend, broke the star. Being the accompanying person, I felt very
angry thinking of the consequences.",,"I went singing with a group of young people on January 6th Thethree Magi, a local custom called ""star singing"". One of the girls, mygirlfriend, broke the star. Being the accompanying person, I felt veryangry thinking of the consequences."
sadness,"When the grandmother of my friend died in a hospital. My friend
was crying and I was sad, too.",,"When the grandmother of my friend died in a hospital. My friendwas crying and I was sad, too."
disgust,"I saw a physically handicapped young man whose spittle ran out of
his mouth while speaking.",,I saw a physically handicapped young man whose spittle ran out ofhis mouth while speaking.
shame,"It was in a group situation: suddenly it was my turn to say something,
but I felt that I was not able to express myself very well - I felt
ashamed and blushed.",,"It was in a group situation: suddenly it was my turn to say something,but I felt that I was not able to express myself very well I feltashamed and blushed."
guilt,"My girlfriend's results in school had become worse because I
prevented her from learning (we often went out etc.).",,My girlfriend is results in school had become worse because Iprevented her from learning we often went out etc..
joy,"I went shopping with my parents - my father payed everything for
me, I was very glad.",,"I went shopping with my parents my father payed everything forme, I was very glad."
fear,"When I was a child, I heard the floor cracking and I thought
there was a burglar in our house; I hid under the blanket and
trembled.",,"When I was a child, I heard the floor cracking and I thoughtthere was a burglar in our house; I hid under the blanket andtrembled."
anger,"During a lecture, a colleague who did not know anything about the
subject, got on my nerves asking silly questions.",,"During a lecture, a colleague who did not know anything about thesubject, got on my nerves asking silly questions."
sadness,"When my grandfathers died and I realized how much I would miss
them.",,When my grandfathers died and I realized how much I would missthem.
disgust,"During a football game, another player who was perspiring very
strongly ran into me.",,"During a football game, another player who was perspiring verystrongly ran into me."
shame,"I tried to pass an examination particularly well, but I did it
worse than ever. I felt ashamed.",,"I tried to pass an examination particularly well, but I did itworse than ever. I felt ashamed."
guilt,"During the military service, I lost a part of an equipment; I
accused another person and he was rebuked and punished.",,"During the military service, I lost a part of an equipment; Iaccused another person and he was rebuked and punished."
joy,"At a choral concert I appeared as a solist. The concert5 was very
good, I forgot all the hard work that had been done before. There
remained only an undescribable joy and a feeling of warmth,
security etc.",,"At a choral concert I appeared as a solist. The concert5 was verygood, I forgot all the hard work that had been done before. Thereremained only an undescribable joy and a feeling of warmth,security etc."
fear,"I am a ""cantor"" - I sing psalms in church. Several weeks ago I
had to sing too, but the organist did not tell me in time. As I
did not know the psalm, I was afraid and said that I could not
sing.",,"I am a ""cantor"" I sing psalms in church. Several weeks ago Ihad to sing too, but the organist did not tell me in time. As Idid not know the psalm, I was afraid and said that I could notsing."
anger,"During the Christmas holdidays I wanted to invite my brother, his
girlfriend and their child for dinner. When I said to my
brother's girlfriend that I would like them to come at my place
for dinner, she refused and never mentioned it again as if I
had never asked her.",,"During the Christmas holdidays I wanted to invite my brother, hisgirlfriend and their child for dinner. When I said to mybrother is girlfriend that I would like them to come at my placefor dinner, she refused and never mentioned it again as if Ihad never asked her."
sadness,"Several years ago my brother died in an accident. When I heard
about it, I was very sad. It took years until I resigned myself
to it.",,"Several years ago my brother died in an accident. When I heardabout it, I was very sad. It took years until I resigned myselfto it."
disgust,"I read a book about the situation in South-Africa, about the
terrible violations of human rights. I was disgusted with the
white population.",,"I read a book about the situation in South-Africa, about theterrible violations of human rights. I was disgusted with thewhite population."
shame,"My P.T. instructor also works as a masseur. He wanted to massage
me, therefore I had to undress. For the first few times this was
not easy for me; I got gradually used to it.",,"My P.T. instructor also works as a masseur. He wanted to massageme, therefore I had to undress. For the first few times this wasnot easy for me; I got gradually used to it."
guilt,"Some time ago I took the driving test. I did answer the
theoretical questions very well, but I failed the practical
driving test. It was my fault because I had not enough practice.",,"Some time ago I took the driving test. I did answer thetheoretical questions very well, but I failed the practicaldriving test. It was my fault because I had not enough practice."
joy,"When my brother came back home after staying in hospital. He had
undergone an operation which had been a matter of life or death.
When he came home I could see him smile for the first time after
may weeks.",,When my brother came back home after staying in hospital. He hadundergone an operation which had been a matter of life or death.When he came home I could see him smile for the first time aftermay weeks.
fear,"After a short stay in Marocco we missed the ferry-boat back to
Spain and we had to look for an accomodation. By chance we met a
man who offered to take us to a camping site. While I was sitting in his
car I was terribly afraid because I had heard of people being
robbed in Marocco.",,After a short stay in Marocco we missed the ferry-boat back toSpain and we had to look for an accomodation. By chance we met aman who offered to take us to a camping site. While I was sitting in hiscar I was terribly afraid because I had heard of people beingrobbed in Marocco.
anger,"After an exhausting day I came home and wanted to take a bath to
relax. My father wanted to take a bath first and when he had
finished after an hour, there was no hot water left for me.",,"After an exhausting day I came home and wanted to take a bath torelax. My father wanted to take a bath first and when he hadfinished after an hour, there was no hot water left for me."
sadness,"I met some nice people during my holdidays. When they left I knew
that I would never see them again.",,I met some nice people during my holdidays. When they left I knewthat I would never see them again.
disgust,"A drunk man attacked his wife and wanted to humiliate her by
insulting her. Then he turned violent and started to beat her in
front of her child. She left it happen without saying a word in
order not to make things worse. I watched the scene and tried to
calm the man, but without success. Just because he was stronger
we had to comply. From that day I detested him.",,"A drunk man attacked his wife and wanted to humiliate her byinsulting her. Then he turned violent and started to beat her infront of her child. She left it happen without saying a word inorder not to make things worse. I watched the scene and tried tocalm the man, but without success. Just because he was strongerwe had to comply. From that day I detested him."
shame,"For a medical check-up, we - boys and girls - had to take off our
clothes with the exception of our underwear. Then we had to go
into another classroom where older pupils were sitting and
staring at us.",,"For a medical check-up, we boys and girls had to take off ourclothes with the exception of our underwear. Then we had to gointo another classroom where older pupils were sitting andstaring at us."
guilt,"I allowed my little brother to clean the bathroom in his own way.
My mother came and saw the floor overflowed with water, slapped
my brother in the face and told him to go to bed immediately.",,"I allowed my little brother to clean the bathroom in his own way.My mother came and saw the floor overflowed with water, slappedmy brother in the face and told him to go to bed immediately."
joy,"One day I did not feel very well and I wanted to talk to
somebody. A friend invited me for dinner and I was very glad.",,One day I did not feel very well and I wanted to talk tosomebody. A friend invited me for dinner and I was very glad.
fear,"I was driving my car and it was very misty. It was in the night
and I was alone in my car. I felt totally insecure, nervous and
overstrained.",,"I was driving my car and it was very misty. It was in the nightand I was alone in my car. I felt totally insecure, nervous andoverstrained."
anger,"My mother treated me unjustly as if I was a little child. I said
mean things. I was unable to defend myself adequately.",,My mother treated me unjustly as if I was a little child. I saidmean things. I was unable to defend myself adequately.
sadness,"When my uncle died whom I had loved very much. I was very sad and
I felt totally helpless.",,When my uncle died whom I had loved very much. I was very sad andI felt totally helpless.
disgust,"I watched the news at the TV, it was a commentary about
""Hainburg"". I felt disgusted when I heard members of the union
speak about the situation.",,"I watched the news at the TV, it was a commentary about""Hainburg"". I felt disgusted when I heard members of the unionspeak about the situation."
shame,"I took the tram without paying. There were many people around me
when I was caught by a controller. I felt ashamed but also angry.",,I took the tram without paying. There were many people around mewhen I was caught by a controller. I felt ashamed but also angry.
guilt,"I behaved in a nasty manner towards a friend, I said things which
I could have said in a more friendly way. After that I felt
guilty.",,"I behaved in a nasty manner towards a friend, I said things whichI could have said in a more friendly way. After that I feltguilty."
joy,"A friend of mine often had difficulties with her parents. Once
she had a child she had a better relationship with them.",,A friend of mine often had difficulties with her parents. Onceshe had a child she had a better relationship with them.
fear,"Once our school class went skiing. On a steep slope a boy
standing behind me lost his balance, fell down and drew me with
him. I slided down the whole slope. At about 1 m distance from a
tree I could stop.",,"Once our school class went skiing. On a steep slope a boystanding behind me lost his balance, fell down and drew me withhim. I slided down the whole slope. At about 1 m distance from atree I could stop."
anger,"It happened in a tram: some older people started to grumble about
the young people just because I had not immediately left my seat
to them.",,It happened in a tram: some older people started to grumble aboutthe young people just because I had not immediately left my seatto them.
sadness,"When I was younger I was very good in apparatus gymnastics. I
always won in competitions, but once I was only at the fourth
place.",,"When I was younger I was very good in apparatus gymnastics. Ialways won in competitions, but once I was only at the fourthplace."
disgust,A friend was assaulted by a young man on her way home.,,A friend was assaulted by a young man on her way home.
shame,Some men were talking about me and my sister.,,Some men were talking about me and my sister.
guilt,"During my holidays I had a boyfriend who turned away from me
outwardly. Therefore I danced with another man and raised certain
hopes in him. After a while I had to explain to him the
circumstances",,During my holidays I had a boyfriend who turned away from meoutwardly. Therefore I danced with another man and raised certainhopes in him. After a while I had to explain to him thecircumstances
joy,"I received a letter and a Christmas present from a person I had
not seen for two years.",,I received a letter and a Christmas present from a person I hadnot seen for two years.
fear,"I was at home alone and my mother had asked me to heat the house.
I put too much fuel into the stove. It began to glow and there
was a noise in the whole house as if it was going to explode.",,I was at home alone and my mother had asked me to heat the house.I put too much fuel into the stove. It began to glow and therewas a noise in the whole house as if it was going to explode.
anger,"At the end of my holiday job I got less money than was due to me
and nobody mentioned anything about that.",,At the end of my holiday job I got less money than was due to meand nobody mentioned anything about that.
sadness,"My little cat which I had raised all by myself, hanged itself when
playing in the garden.",,"My little cat which I had raised all by myself, hanged itself whenplaying in the garden."
disgust,"At school a classmate who was a very good pupil had to help
another boy who performed less well. He told him on purpose the
wrong things so that he had to repeat a year.",,At school a classmate who was a very good pupil had to helpanother boy who performed less well. He told him on purpose thewrong things so that he had to repeat a year.
shame,"When I was a child I played my mother a nasty trick to make her
feel hurt.",,When I was a child I played my mother a nasty trick to make herfeel hurt.
guilt,"I had promised my friend to take her to an important appontment
but I was late. So she missed the opportunity to get a wellpayed
holiday job.",,I had promised my friend to take her to an important appontmentbut I was late. So she missed the opportunity to get a wellpayedholiday job.
joy,"I have a boyfriend and I am very fond of him. When we had our
""11-months jubilee"", I had forgotten it. But he gave me a red
rose.",,"I have a boyfriend and I am very fond of him. When we had our""11-months jubilee"", I had forgotten it. But he gave me a redrose."
fear,"When I was a child I was afraid of big dogs. One day when I came
home a big dog was laying in front of our door. I was so
frightened that I did not dare to enter the door and I waited
until somebody passed by.",,When I was a child I was afraid of big dogs. One day when I camehome a big dog was laying in front of our door. I was sofrightened that I did not dare to enter the door and I waiteduntil somebody passed by.
anger,"I share my small flat with my friend. On her birthday we could
not see each other until evening because we had to stay at the
University all day. In the evening I left a lecture before it
finished to be able to buy flowers for her. When I was at home
she called me to tell me that she would stay the night with her
boyfriend.",,I share my small flat with my friend. On her birthday we couldnot see each other until evening because we had to stay at theUniversity all day. In the evening I left a lecture before itfinished to be able to buy flowers for her. When I was at homeshe called me to tell me that she would stay the night with herboyfriend.
sadness,"When I was a child I had a grass-parakeet I liked very much. His
legs were crippled so that he could not move very fast. Once I
came into the room, did not notice him and stepped on him. A few
days later he died.",,"When I was a child I had a grass-parakeet I liked very much. Hislegs were crippled so that he could not move very fast. Once Icame into the room, did not notice him and stepped on him. A fewdays later he died."
disgust,"When I was younger I often saw my father come home drunk (he had
big problems at that time). Once he woke me up in the middle of
the night and shouted at me.",,When I was younger I often saw my father come home drunk he hadbig problems at that time. Once he woke me up in the middle ofthe night and shouted at me.
shame,"At school I was bad in mathematics. Although my teacher had
admonished me to do my homework, one day I had forgotten to do
it. When my teacher noticed it, I blushed and was ashamed to be
rebuked in front of the other pupils.
",,"At school I was bad in mathematics. Although my teacher hadadmonished me to do my homework, one day I had forgotten to doit. When my teacher noticed it, I blushed and was ashamed to berebuked in front of the other pupils."
guilt,"When I was a child I often quarrelled with my younger sister.
Once I became so angry that I slapped her in the face. She cried
and shouted so that my mother came in and scolded me.",,When I was a child I often quarrelled with my younger sister.Once I became so angry that I slapped her in the face. She criedand shouted so that my mother came in and scolded me.
joy,"After a weekend at a seminar I saw my husband again. I hurried
home hoping he would be there. We embraced - I enjoyed feeling
his body.",,After a weekend at a seminar I saw my husband again. I hurriedhome hoping he would be there. We embraced I enjoyed feelinghis body.
fear,"One evening I stayed at home all alone. As we lived on the ground
floor, I was often afraid of burglers.",,"One evening I stayed at home all alone. As we lived on the groundfloor, I was often afraid of burglers."
anger,"One day, when riding on a bicycle path, a car coming from the
opposite direction forced me to get off my bike although I had
the priority.",,"One day, when riding on a bicycle path, a car coming from theopposite direction forced me to get off my bike although I hadthe priority."
sadness,"My father died unexpectedly at the age of 53 years. He certainly
would have liked to live longer. I was also said because I was
confronted with the fact that I would die one day too.",,My father died unexpectedly at the age of 53 years. He certainlywould have liked to live longer. I was also said because I wasconfronted with the fact that I would die one day too.
disgust,"One day, when I was twelve years old, my brother took some slimy
substance swimming on the surface of a pot of vinegar made of
cider and threatened to throw it at me.",,"One day, when I was twelve years old, my brother took some slimysubstance swimming on the surface of a pot of vinegar made ofcider and threatened to throw it at me."
shame,"When I was ten years old a classmate laughed at me because I had
told him that my father had retired.",,When I was ten years old a classmate laughed at me because I hadtold him that my father had retired.
guilt,"I felt guilty because I had not accomplished a thing as well as I
had wanted to.",,I felt guilty because I had not accomplished a thing as well as Ihad wanted to.
joy,A party with friends on New Year's Eve.,,A party with friends on New year is Eve.
fear,"When I was hitch-hiking and I went with a man who drived like a
madman.",,When I was hitch-hiking and I went with a man who drived like amadman.
anger,"I was in ""Hainburg"" in December and I was angry about the
politicians and the police.",,"I was in ""Hainburg"" in December and I was angry about thepoliticians and the police."
sadness,"I met again a very good friend after a year and realized that
there had grown a certain distance between us.",,I met again a very good friend after a year and realized thatthere had grown a certain distance between us.
disgust,"When I listened to a conversation of friends talking about the
power of money.",,When I listened to a conversation of friends talking about thepower of money.
sadness,When my grandmother died - at her funeral.,,When my grandmother died at her funeral.
disgust,"I read about a monk who had been murdered and put into a barrel
which was filled with blood of pigs.",,I read about a monk who had been murdered and put into a barrelwhich was filled with blood of pigs.
shame,"I went for a walk with a very close friend; we were talking about
our problems, I told her lies.",,"I went for a walk with a very close friend; we were talking aboutour problems, I told her lies."
guilt,"I had to tell a collegue the time for an appointment with another
collegue. I told her the wrong time - it was obviously my fault.",,I had to tell a collegue the time for an appointment with anothercollegue. I told her the wrong time it was obviously my fault.
joy,"I went to buy a bicycle with my father. When I wanted to pay, my
father took his purse and payed.",,"I went to buy a bicycle with my father. When I wanted to pay, myfather took his purse and payed."
fear,"My mother had fallen down from a ladder when she had been
gathering cherries. Her back was hurt. Just when I arrived, I saw
people of the life-saving service giving her medical care.",,"My mother had fallen down from a ladder when she had beengathering cherries. Her back was hurt. Just when I arrived, I sawpeople of the life-saving service giving her medical care."
anger,"I was waiting behind a car which was going to leave the parking
place, because I wanted to park my car there. Because of uncoming
traffic I had to wait for a short time - another driver placed
his car on the place.",,"I was waiting behind a car which was going to leave the parkingplace, because I wanted to park my car there. Because of uncomingtraffic I had to wait for a short time another driver placedhis car on the place."
sadness,My partner left me after we had been together for a long time.,,My partner left me after we had been together for a long time.
disgust,"At a discussion a friend took a ""faschistic view"", what I had not
expected.",,"At a discussion a friend took a ""faschistic view"", what I had notexpected."
shame,"At a weekend's seminar my trousers suddenly burst, therefore I was
prevented from participating in several activities.",,"At a weekend is seminar my trousers suddenly burst, therefore I wasprevented from participating in several activities."
guilt,"When I was driving my motorbike I went into a bend incautiously
and fell down. I was slightly hurt, the motorbike was slightly
damaged.",,"When I was driving my motorbike I went into a bend incautiouslyand fell down. I was slightly hurt, the motorbike was slightlydamaged."
joy,"Before Christmas I got to know a girl but our relationshop could
not consolidate before the holiday. Therefore it was a big
surprise to get a carefully hand-made present from her. - Our
relationship grew closer.",,Before Christmas I got to know a girl but our relationshop couldnot consolidate before the holiday. Therefore it was a bigsurprise to get a carefully hand-made present from her. Ourrelationship grew closer.
fear,"When I was a child, I fell into a cellar (when playing) and could
be freed only with big difficulties.",,"When I was a child, I fell into a cellar when playing and couldbe freed only with big difficulties."
anger,"I was angry about several drivers who showed an aggressive and
dangerous driving habit.",,I was angry about several drivers who showed an aggressive anddangerous driving habit.
sadness,"When my grandmother died. I had a very deep relation to her (I
lived with her for several years).",,When my grandmother died. I had a very deep relation to her Ilived with her for several years.
disgust,"Some time ago a girl tried to make me up without any action of my
part. She used all possible means. Although I behaved refusingly
she did not give up for a longer time.",,Some time ago a girl tried to make me up without any action of mypart. She used all possible means. Although I behaved refusinglyshe did not give up for a longer time.
shame,"When I went to the sauna for the first time and there were men
and women.",,When I went to the sauna for the first time and there were menand women.
guilt,"When I was parking my car I was not cautious and bumped into
another car. I caused considerable damage. The driver of the
other car was very angry and I let him insult me because I felt
guilty.",,When I was parking my car I was not cautious and bumped intoanother car. I caused considerable damage. The driver of theother car was very angry and I let him insult me because I feltguilty.
joy,"A person whom I had not seen for a long time called me and
invited me for a party.",,A person whom I had not seen for a long time called me andinvited me for a party.
fear,"When I was walking on the street, a group of drunk, bawling young
people approached.",,"When I was walking on the street, a group of drunk, bawling youngpeople approached."
anger,"When I was house-hunting: Another person got a flat that I would
have liked, too, because he heaped a floot of words on the
letter.",,"When I was house-hunting: Another person got a flat that I wouldhave liked, too, because he heaped a floot of words on theletter."
sadness,When my grandmother died.,,When my grandmother died.
guilt,"When I shoplifted a pair of earrings from Coles and my Mum caught
me with them in my bag.",,When I shoplifted a pair of earrings from Coles and my Mum caughtme with them in my bag.
joy,"When my mother was tremendous on the phone and we talked for
hours. She was in a good mood.",,When my mother was tremendous on the phone and we talked forhours. She was in a good mood.
fear,"When I saw a good male friend unexpectedly after a year, as I've
just returned from overseas. I was feeling tired, looking a mess,
and nervous.",,"When I saw a good male friend unexpectedly after a year, as i havejust returned from overseas. I was feeling tired, looking a mess,and nervous."
anger,"When I wanted to talk to someone I liked and whom I have been
told likes me (by his brother and even by himself) however he
avoids any confrontation, and is vague.",,"When I wanted to talk to someone I liked and whom I have beentold likes me by his brother and even by himself however heavoids any confrontation, and is vague."
sadness,"After having left the company of someone who gave me a lot of
support and made me laugh, found myself alone for days on end.",,"After having left the company of someone who gave me a lot ofsupport and made me laugh, found myself alone for days on end."
disgust,"When a boy had continued to use foul language and swearing in
front of a group of my friends.",,When a boy had continued to use foul language and swearing infront of a group of my friends.
shame,"When I was about seven or eight I was caught having stolen a
doll's dress from my next-door neighbour.",,When I was about seven or eight I was caught having stolen adoll is dress from my next-door neighbour.
guilt,"Feeling guilt after greed, buying chocolate and pigging out to
the point of feeling sick, especially as I am fat.",,"Feeling guilt after greed, buying chocolate and pigging out tothe point of feeling sick, especially as I am fat."
joy,When planning to marry.,,When planning to marry.
fear,"No really strong such emotion. Just falling off to sleep when I
caught sight of a 5 cm diameter spider crawling onto the pillow
beside me.",,No really strong such emotion. Just falling off to sleep when Icaught sight of a 5 cm diameter spider crawling onto the pillowbeside me.
anger,"My feelings towards would-be in-laws for their participation in
recent broken relationship.",,My feelings towards would-be in-laws for their participation inrecent broken relationship.
sadness,"Recent break-up of seriors long-term relationship, helped along
by would-be  in-laws.",,"Recent break-up of seriors long-term relationship, helped alongby would-be in-laws."
disgust,"No very strong such emotion. Treatment of my sister by her
dancing instructor - he is a ""user"", i.e., takes advantage of her
good nature.",,"No very strong such emotion. Treatment of my sister by herdancing instructor he is a ""user"", i.e., takes advantage of hergood nature."
shame,"After failing a second attempt at Med 4, following a number of
difficult personal circumstances.",,"After failing a second attempt at Med 4, following a number ofdifficult personal circumstances."
guilt,"Failure to complete medical course as a result of failing fourth
year twice.",,Failure to complete medical course as a result of failing fourthyear twice.
joy,"When Wayne and Sue (close friends) were announced our guardians
at ther wedding.",,When Wayne and Sue close friends were announced our guardiansat ther wedding.
fear,"Car accident nearly occurred between us and drunk driver coming
in opposite direction it missed us by approx 1 m and collided
(after rolling twice midair) into nearby scrub.",,Car accident nearly occurred between us and drunk driver comingin opposite direction it missed us by approx 1 m and collidedafter rolling twice midair into nearby scrub.
anger,When boyfriend lied to me.,,When boyfriend lied to me.
sadness,When my boyfriend took me to his father's grave.,,When my boyfriend took me to his father is grave.
disgust,"On boat trip - saw mother giving young child (aprox 6-7 years)
cigarettes.",,On boat trip saw mother giving young child aprox 6-7 yearscigarettes.
shame,When harassed by this boy - it was sexual (refer to GUILT).,,When harassed by this boy it was sexual refer to GUILT.
guilt,"When in grade 3, late home from school every day for weeks
because of harassment from a grade 7 boy I lied to mother about
why I was home late.",,"When in grade 3, late home from school every day for weeksbecause of harassment from a grade 7 boy I lied to mother aboutwhy I was home late."
joy,Getting a part-time job.,,Getting a part-time job.
fear,"Small car accident. Black ice on the road - cars in front of us
started zig-zagging and so did we. Car in front did a 180¦ turn we
followed and ended up in a gully.",,Small car accident. Black ice on the road cars in front of usstarted zig-zagging and so did we. Car in front did a 180¦ turn wefollowed and ended up in a gully.
anger,People hunting animals.,,People hunting animals.
sadness,"When my grandfather was sick, and died I felt more sad, though,
when he was sick.",,"When my grandfather was sick, and died I felt more sad, though,when he was sick."
disgust,People spitting in railway stations.,,People spitting in railway stations.
shame,Falling over.,,Falling over.
guilt,"Eating too much I felt guilty afterwards because I knew I
shouldn't have overeaten as I'm putting on too much weight.",,Eating too much I felt guilty afterwards because I knew Ishouldn't have overeaten as i am putting on too much weight.
joy,"When my last year's second semester results came through - I was
ecstatic.",,When my last year is second semester results came through I wasecstatic.
fear,"I was sleeping in my room but woke in the middle of the night to
think I could hear noises and see shadows moving. I felt that
someone was in the house.",,I was sleeping in my room but woke in the middle of the night tothink I could hear noises and see shadows moving. I felt thatsomeone was in the house.
anger,"At school, a couple of years ago, a so-called acquaintance told lies
about me to a teacher I was told about it by friends who overheard
the conversation.",,"At school, a couple of years ago, a so-called acquaintance told liesabout me to a teacher I was told about it by friends who overheardthe conversation."
sadness,"My grandfather died. He lived almost as a recluse not caring for
himself as well as he should - Dad and we all helped as much as
we could, but it didn't save him from himself. It was an
unexpected death. His second de facto wife was lucky she wasn't
jailed.",,"My grandfather died. He lived almost as a recluse not caring forhimself as well as he should Dad and we all helped as much aswe could, but it did not save him from himself. It was anunexpected death. His second de facto wife was lucky she wasn'tjailed."
sadness,"In my penultimate job I was responsible of a sections with
several employers, after several years of dedication I was
dismissed by a new chef, saying that I was incompetent.",,"In my penultimate job I was responsible of a sections withseveral employers, after several years of dedication I wasdismissed by a new chef, saying that I was incompetent."
disgust,"I assisted to a scene where the police attacked a person that
didn't have his documents. The savagery was too much, and the
attacked person bleeded to much.",,"I assisted to a scene where the police attacked a person thatdidn't have his documents. The savagery was too much, and theattacked person bleeded to much."
shame,In a party of friends I got completely drunk.,,In a party of friends I got completely drunk.
guilt,"Once in my homes yard, I was plaing football with my cousin and
in a certain quick the ball went on uncontrolled putting down a
bird-cage, killing it.",,"Once in my homes yard, I was plaing football with my cousin andin a certain quick the ball went on uncontrolled putting down abird-cage, killing it."
joy,"When I get something that seemed very hard like getting a job, a
boyfriend, etc. A specific sutuations, was when I started to date
a boy whom I liked for a long time.",,"When I get something that seemed very hard like getting a job, aboyfriend, etc. A specific sutuations, was when I started to datea boy whom I liked for a long time."
fear,When I had to assume a position which I didn't expect.,,When I had to assume a position which I did not expect.
anger,"When I was dismissed unjustly from the firm where I worked,
because there where persons that didn't have problems, and
wouldn't miss in the jobs they occupied if they were dismissed.",,"When I was dismissed unjustly from the firm where I worked,because there where persons that did not have problems, andwouldn't miss in the jobs they occupied if they were dismissed."
sadness,"I felt very sad when I had to give up something that by right was
mine and although I didn't get it, a kind of suvenir that people
don't give you the right to have.",,"I felt very sad when I had to give up something that by right wasmine and although I did not get it, a kind of suvenir that peopledon't give you the right to have."
disgust,"The acts of brutal violence in generally disgusts me. Fights,
phisical aggrssion, etc.",,"The acts of brutal violence in generally disgusts me. Fights,phisical aggrssion, etc."
shame,"I felt ashamed when in a certain occasion I had to read a text
and didn't stop stuttering.",,I felt ashamed when in a certain occasion I had to read a textand did not stop stuttering.
guilt,When I was reproved eighth grade of high school.,,When I was reproved eighth grade of high school.
anger,"When I talked with a teacher yesterday who, to say the least, was
rude and unwise and had irrelevant opinions about a friend.",,"When I talked with a teacher yesterday who, to say the least, wasrude and unwise and had irrelevant opinions about a friend."
sadness,The loss of the woman who loved me most till today.,,The loss of the woman who loved me most till today.
disgust,"In a sexual experience with an unknown woman where after the
sexual act I only could go away without looking backwards.",,In a sexual experience with an unknown woman where after thesexual act I only could go away without looking backwards.
shame,"When I wanted to kiss a friend and didn't succeed, I felt shame.",,"When I wanted to kiss a friend and did not succeed, I felt shame."
guilt,"On a telephone talk where I was agressive and stupid without the
least, reason or better motive.",,"On a telephone talk where I was agressive and stupid without theleast, reason or better motive."
joy,"When I succeed in writing something I felt and doing it I felt
well and very happy for being able to express to myself something
that was suffocating me.",,When I succeed in writing something I felt and doing it I feltwell and very happy for being able to express to myself somethingthat was suffocating me.
fear,When I crashed my car.,,When I crashed my car.
anger,"When in a difficult moment I couldn't express myself correctly
and my thought came out with distortions bringing about highly
negative and distorted results.",,When in a difficult moment I could not express myself correctlyand my thought came out with distortions bringing about highlynegative and distorted results.
sadness,"When I heard about the death of somebody I liked very much and I
was not present either to see the person or to try to share my
emotions with other friends.",,When I heard about the death of somebody I liked very much and Iwas not present either to see the person or to try to share myemotions with other friends.
disgust,"When I saw a woman subjugated by money and not being able to hide
how she hated herself for not having the will power to get out of
such a situation because it was convenient, according to what she
told me.",,"When I saw a woman subjugated by money and not being able to hidehow she hated herself for not having the will power to get out ofsuch a situation because it was convenient, according to what shetold me."
shame,"When somebody suddenly said something (about me) at a wrong
moment and I didn't agree (at that exact moment I was needing an
extremely positive word).",,When somebody suddenly said something about me at a wrongmoment and I did not agree at that exact moment I was needing anextremely positive word.
shame,When my mother surprised me while masturbating.,,When my mother surprised me while masturbating.
